"Browser","Browser Version","Short Browser Version","Engine","Engine Version","OS","OS Version","Measurement","Player Latency","showlatency","hidelatency","delay"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","93","69852","95536","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","107","67928","111932","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","99","67800","95016","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","107","68572","145200","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","96","70000","92304","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","85","81252","102064","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","98","19284","87464","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","110","36564","87360","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","10","15324","84784","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","4","18900","91192","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","15","13144","86952","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","109","16224","106040","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","7","14680","85416","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","10","18652","91448","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","95","11996","88096","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","108","15960","106296","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","98","15196","86816","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","108","16988","106552","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","98","15060","86696","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","108","16988","106808","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","98","15572","85808","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","107","17108","106944","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","98","34788","66840","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","108","15956","107320","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","99","13400","86712","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","108","16864","106800","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","98","14812","86696","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","108","16864","106416","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","5","13656","86452","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","106","17368","92736","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","93","11228","88992","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","108","13788","106424","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","97","14816","86568","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","106","17372","107184","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","97","14424","86696","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","108","17116","107184","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","98","14424","86704","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","109","16984","106680","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","97","14932","86568","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","108","17116","107064","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","98","14816","86432","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","107","17236","106560","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","98","14808","87072","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","108","16856","106816","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","98","14680","87336","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","108","16724","106560","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","101","14808","85284","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","116","18272","106792","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","97","15060","87208","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","108","16340","107064","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","96","14300","87072","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","107","16856","106560","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","98","15068","87072","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","108","15712","107176","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","98","14296","86568","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","108","15964","106936","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","98","14676","87720","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","108","16088","106680","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","98","14820","86564","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","107","17108","106688","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","98","15316","86704","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","106","15700","106688","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","98","15324","84784","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","108","18136","91964","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","98","11868","88228","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","108","15576","106936","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","98","14036","87080","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","109","16088","107192","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","98","14420","86824","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","108","16596","107320","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","97","13532","86572","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","108","17236","106424","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","99","13916","86560","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","109","16092","106688","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","96","14548","86952","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","108","16984","106680","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","98","14548","87336","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","107","16472","106808","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","98","15068","86568","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","97","36948","73152","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","98","9432","90664","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","112","15452","106672","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","98","14552","86816","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","107","17108","106552","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","97","14820","87328","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","108","16224","107048","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","98","14680","86440","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","108","17112","106440","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","98","13908","86832","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","108","17108","106936","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","99","13272","86944","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","108","16852","106944","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","98","14808","86304","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","109","16100","106924","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","98","14676","86824","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","119","16728","106544","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","100","15060","85040","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","112","18524","106552","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","98","13912","86448","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","108","16224","106936","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","98","14680","86312","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","108","17236","106808","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","99","13784","86704","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","108","15960","107192","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","97","14296","86696","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","109","16980","107456","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","98","14168","86576","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","108","17496","106168","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","98","14936","86576","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","108","16984","106800","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","99","14932","86568","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","105","17368","106816","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","99","14296","86832","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","107","16852","106944","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","90","14804","86448","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","108","17116","106800","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","98","13652","86960","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","108","16984","107320","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","98","13912","87080","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","108","16856","106560","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","97","14936","86568","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","107","17240","106680","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","99","14804","86448","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","108","17112","106688","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","97","14932","87336","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","108","16596","106296","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","97","14296","86192","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","107","17236","106688","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","98","14936","87208","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","112","16472","106416","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","104","14936","85552","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","108","17244","106688","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","98","34648","66736","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","108","17236","106688","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","98","13784","86696","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","111","16980","106680","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","99","15204","86176","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","108","16992","106664","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","98","14932","86568","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","108","17240","106432","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","98","14948","86436","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","109","15960","107184","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","99","14420","86824","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","108","16984","106936","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","97","13528","86696","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","107","16856","106688","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","99","14164","85936","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","109","17500","92604","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","99","10972","89120","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","109","13664","106948","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","99","14552","86576","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","108","16088","107072","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","98","14548","86824","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","122","16856","106560","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","98","14932","87208","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","127","16212","106816","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","98","14808","86576","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","108","16476","106296","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","98","14932","86696","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","108","16852","106944","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","98","14548","86960","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","109","17116","106304","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","98","15064","85032","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","112","17628","92984","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","98","10072","90028","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","108","13140","106560","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","99","14296","86696","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","108","17492","105920","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","98","14804","86832","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","107","16856","106824","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","100","14808","86696","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","109","16984","106672","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","99","14804","86968","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","109","15960","106808","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","98","14552","86696","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","108","16728","106816","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","98","14936","86696","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","108","16728","107056","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","104","14688","87328","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","109","16340","106680","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","98","14936","85164","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","108","18400","107824","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","98","13912","86832","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","109","15580","106808","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","98","13908","86576","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","109","15960","106928","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","98","14808","86824","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","108","16860","106544","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","98","15192","87076","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","109","17112","106424","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","104","14548","86952","100000"
