"Browser","Browser Version","Short Browser Version","Engine","Engine Version","OS","OS Version","Measurement","Player Latency","showlatency","hidelatency","delay"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","97","53464","94376","100000"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","81","71388","93104","110000"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","80","70868","76328","100000"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","92","69848","94896","110000"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","79","69204","78760","100000"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","93","68060","95288","110000"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","85","50904","98088","100000"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","96","65620","99008","110000"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","82","64856","82728","100000"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","93","72152","91328","110000"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","86","53212","94376","100000"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","92","70492","93888","110000"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","83","69460","77744","100000"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","95","52568","112448","110000"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","70","67036","80032","100000"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","94","66520","98368","110000"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","86","65624","82472","100000"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","90","71124","92616","110000"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","70","72404","74664","100000"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","79","70872","93368","110000"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","87","52184","95656","100000"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","93","68440","95920","110000"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","84","52056","96040","100000"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","95","49500","115768","110000"
