"showlatency","hidelatency","delay", "Player Latency"
27216,113080,110000,105
34384,96440,100000,94
33496,96824,110000,104
33872,96304,100000,95
34384,96064,110000,105
33748,96552,100000,95
33620,113208,110000,104
34528,96416,100000,94
33872,96312,110000,105
33488,97208,100000,96
34000,96064,110000,106
33884,96540,100000,95
33888,96304,110000,104
34400,96032,100000,94
33872,96448,110000,103
33488,96944,100000,94
34136,96056,110000,105
33880,96544,100000,95
33364,96952,110000,104
33748,95776,100000,95
34904,96176,110000,104
33752,96688,100000,94
33628,96424,110000,106
34004,96432,100000,94
33752,96816,110000,105
33488,96560,100000,94
33872,96336,110000,104
34392,96048,100000,94
34136,96176,110000,105
34136,96176,100000,94
34128,96192,110000,105
34136,96288,100000,94
34136,96176,110000,104
34132,96176,100000,94
33744,96568,110000,105
33748,96544,100000,95
33756,96680,110000,105
33636,96416,100000,95
34384,112832,110000,105
34260,96552,100000,94
33752,96560,110000,105
33624,96680,100000,95
33748,96448,110000,105
33752,96680,100000,94
33748,113464,110000,105
33748,96816,100000,94
33876,96320,110000,105
34008,96544,100000,95
33624,96576,110000,105
33492,96816,100000,94
33748,96576,110000,105
33748,96560,100000,94
33748,96712,110000,105
33748,96416,100000,95
33876,96440,110000,105
33872,96688,100000,95
33744,96440,110000,106
33496,96800,100000,95
33752,96576,110000,104
33632,96672,100000,94
33880,96432,110000,104
33876,96312,100000,93
33752,96696,110000,103
33748,96432,100000,94
34008,96432,110000,104
33744,96816,100000,94
33620,96312,110000,72
34000,96432,100000,95
33496,113464,110000,106
34384,96560,100000,94
33624,96568,110000,104
33876,96564,100000,94
33620,96584,110000,105
33876,96560,100000,95
33624,113464,110000,105
34144,96416,100000,94
34136,96304,110000,104
33872,96424,100000,93
33744,96576,110000,104
33492,96816,100000,93
34004,96312,110000,105
33892,96412,100000,94
33876,96568,110000,104
33372,96808,100000,95
33888,96432,110000,103
33876,96552,100000,95
33492,96816,110000,105
34004,96312,100000,94
33492,113340,110000,105
34400,96544,100000,93
33880,96576,110000,105
33368,96928,100000,95
33620,96448,110000,105
34132,96296,100000,94
33752,96568,110000,103
33876,96296,100000,94
34004,113336,110000,106
34392,96176,100000,95
33496,96956,110000,104
33748,96544,100000,93
33364,96952,110000,105
33744,96552,100000,95
33496,96816,110000,105
33744,96552,100000,94
33368,96944,110000,105
34256,96056,100000,94
33748,96704,110000,104
33620,96808,100000,94
33492,96696,110000,105
33620,96672,100000,95
33748,96568,110000,104
33624,96812,100000,94
33616,96696,110000,104
33488,96816,100000,94
33244,113584,110000,105
34136,96544,100000,96
34260,96184,110000,105
33756,96544,100000,94
33744,96824,110000,104
33244,96920,100000,93
33880,96312,110000,104
33748,96680,100000,95
33628,113448,110000,104
34012,96544,100000,93
34128,96320,110000,104
33756,96552,100000,94
33620,96576,110000,105
34128,96304,100000,95
33744,96568,110000,105
33616,96952,100000,94
33108,96944,110000,104
33872,96296,100000,94
33880,96576,110000,105
33364,97064,100000,95
34004,112952,110000,104
33744,97064,100000,94
33748,96312,110000,103
34260,96296,100000,93
33620,96696,110000,104
33616,96816,100000,95
33364,113336,110000,104
34264,96680,100000,95
34000,112960,110000,105
34136,96424,100000,94
33496,97080,110000,105
33624,96680,100000,95
34016,113064,110000,105
34000,96432,100000,94
33876,96824,110000,104
33496,96800,100000,95
33496,96560,110000,105
33360,97192,100000,95
33620,96568,110000,105
33616,96576,100000,94
33748,96704,110000,105
33756,96424,100000,95
33884,96576,110000,104
33492,96944,100000,95
33880,96440,110000,105
33492,96944,100000,95
33492,96432,110000,104
33880,96672,100000,94
33616,96832,110000,105
33620,96428,100000,95
33620,97072,110000,105
33760,96280,100000,95
33624,113344,110000,104
34132,96680,100000,96
33624,96824,110000,104
33364,96688,100000,94
34132,96316,110000,104
33616,96680,100000,93
33628,96944,110000,105
33116,96928,100000,94
33620,96568,110000,104
33752,96672,100000,95
32472,96560,110000,105
34132,96424,100000,95
33620,96560,110000,104
35044,96416,100000,95
33620,96696,110000,105
34020,96412,100000,95
33508,96808,110000,104
32604,97816,100000,95
33748,96440,110000,104
33500,97056,100000,93
33244,113584,110000,105
33892,96924,100000,95
33244,96944,110000,105
33880,96424,100000,96
33620,113712,110000,106
33244,97320,100000,94
33636,96560,110000,105
33620,96808,100000,93
33488,96968,110000,105
33364,96680,100000,94
33616,96832,110000,105
33496,97064,100000,95
33496,96432,110000,103
33628,96928,100000,95
