"Browser","Browser Version","Short Browser Version","Engine","Engine Version","OS","OS Version","Measurement","Player Latency","showlatency","hidelatency","delay"
"Chrome","55.0.2883.87","55","WebKit","537.36","Linux","x86_64","minno","184","107960","102008","100000"
"Chrome","55.0.2883.87","55","WebKit","537.36","Linux","x86_64","minno","149","40408","110472","110000"
"Chrome","55.0.2883.87","55","WebKit","537.36","Linux","x86_64","minno","149","50776","102280","100000"
"Chrome","55.0.2883.87","55","WebKit","537.36","Linux","x86_64","minno","169","58964","110608","110000"
"Chrome","55.0.2883.87","55","WebKit","537.36","Linux","x86_64","minno","149","50900","102136","100000"
"Chrome","55.0.2883.87","55","WebKit","537.36","Linux","x86_64","minno","167","58984","110608","110000"
"Chrome","55.0.2883.87","55","WebKit","537.36","Linux","x86_64","minno","150","50648","102392","100000"
"Chrome","55.0.2883.87","55","WebKit","537.36","Linux","x86_64","minno","168","59100","110472","110000"
"Chrome","55.0.2883.87","55","WebKit","537.36","Linux","x86_64","minno","150","50904","102016","100000"
"Chrome","55.0.2883.87","55","WebKit","537.36","Linux","x86_64","minno","169","59224","110480","110000"
"Chrome","55.0.2883.87","55","WebKit","537.36","Linux","x86_64","minno","150","50664","102264","100000"
"Chrome","55.0.2883.87","55","WebKit","537.36","Linux","x86_64","minno","151","42200","110736","110000"
"Chrome","55.0.2883.87","55","WebKit","537.36","Linux","x86_64","minno","165","66516","102136","100000"
"Chrome","55.0.2883.87","55","WebKit","537.36","Linux","x86_64","minno","168","59092","110472","110000"
"Chrome","55.0.2883.87","55","WebKit","537.36","Linux","x86_64","minno","150","50772","102136","100000"
"Chrome","55.0.2883.87","55","WebKit","537.36","Linux","x86_64","minno","169","59092","110600","110000"
"Chrome","55.0.2883.87","55","WebKit","537.36","Linux","x86_64","minno","150","51028","101896","100000"
"Chrome","55.0.2883.87","55","WebKit","537.36","Linux","x86_64","minno","169","59220","110472","110000"
"Chrome","55.0.2883.87","55","WebKit","537.36","Linux","x86_64","minno","151","50772","102136","100000"
"Chrome","55.0.2883.87","55","WebKit","537.36","Linux","x86_64","minno","170","59220","110480","110000"
"Chrome","55.0.2883.87","55","WebKit","537.36","Linux","x86_64","minno","149","50772","102144","100000"
"Chrome","55.0.2883.87","55","WebKit","537.36","Linux","x86_64","minno","167","59348","110352","110000"
"Chrome","55.0.2883.87","55","WebKit","537.36","Linux","x86_64","minno","149","50520","102400","100000"
"Chrome","55.0.2883.87","55","WebKit","537.36","Linux","x86_64","minno","169","58204","110480","110000"
"Chrome","55.0.2883.87","55","WebKit","537.36","Linux","x86_64","minno","149","50776","102136","100000"
"Chrome","55.0.2883.87","55","WebKit","537.36","Linux","x86_64","minno","167","58456","110092","110000"
"Chrome","55.0.2883.87","55","WebKit","537.36","Linux","x86_64","minno","149","51032","102016","100000"
"Chrome","55.0.2883.87","55","WebKit","537.36","Linux","x86_64","minno","150","41304","110616","110000"
"Chrome","55.0.2883.87","55","WebKit","537.36","Linux","x86_64","minno","167","67412","102144","100000"
"Chrome","55.0.2883.87","55","WebKit","537.36","Linux","x86_64","minno","168","59224","110472","110000"
"Chrome","55.0.2883.87","55","WebKit","537.36","Linux","x86_64","minno","150","50896","102016","100000"
"Chrome","55.0.2883.87","55","WebKit","537.36","Linux","x86_64","minno","153","42200","110864","110000"
"Chrome","55.0.2883.87","55","WebKit","537.36","Linux","x86_64","minno","151","50520","102392","100000"
"Chrome","55.0.2883.87","55","WebKit","537.36","Linux","x86_64","minno","152","42068","110872","110000"
"Chrome","55.0.2883.87","55","WebKit","537.36","Linux","x86_64","minno","150","50516","102520","100000"
"Chrome","55.0.2883.87","55","WebKit","537.36","Linux","x86_64","minno","168","58712","110856","110000"
"Chrome","55.0.2883.87","55","WebKit","537.36","Linux","x86_64","minno","149","50516","102392","100000"
"Chrome","55.0.2883.87","55","WebKit","537.36","Linux","x86_64","minno","170","58836","110856","110000"
"Chrome","55.0.2883.87","55","WebKit","537.36","Linux","x86_64","minno","150","50516","102520","100000"
