"Browser","Browser Version","Short Browser Version","Engine","Engine Version","OS","OS Version","Measurement","Player Latency","showlatency","hidelatency","delay"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","162","58844","177684","110000"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","150","51552","144384","100000"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","159","50016","161560","110000"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","150","51032","144760","100000"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","160","51164","161416","110000"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","150","51292","144392","100000"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","160","51416","161160","110000"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","149","51300","144512","100000"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","159","50272","161288","110000"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","149","51288","144632","100000"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","160","51040","161432","110000"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","150","50016","144772","100000"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","160","51036","161688","110000"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","149","50140","145544","100000"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","160","51036","161552","110000"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","150","50528","145288","100000"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","160","50912","161680","110000"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","150","50772","145040","100000"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","160","50904","161552","110000"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","150","51032","144768","100000"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","158","51168","161424","110000"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","149","51032","144776","100000"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","159","50004","161544","110000"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","150","50916","144896","100000"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","160","51032","161544","110000"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","148","50016","144772","100000"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","160","50536","161952","110000"
