"Browser","Browser Version","Short Browser Version","Engine","Engine Version","OS","OS Version","Measurement","Player Latency","showlatency","hidelatency","delay"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","194","90856","177936","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","166","68076","177804","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","175","67032","177936","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","167","67936","161408","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","500","67948","512144","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","165","67928","178176","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","174","67672","178200","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","166","67804","161408","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","176","101208","178328","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","175","115676","178176","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","190","82388","178192","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","167","67696","178188","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","177","67796","178192","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","166","67676","161680","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","175","67676","178200","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","166","67800","161416","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","177","67796","178312","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","166","67680","161536","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","176","67796","178068","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","166","67928","178064","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","177","67672","178320","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","180","83424","161544","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","177","67672","178320","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","172","84436","211584","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","190","83420","178192","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","166","67796","178304","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","191","83420","178200","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","166","67672","178312","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","191","83292","178320","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","167","67800","161408","100000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","175","67812","178200","110000"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","174","84436","161544","100000"
