"Browser","Browser Version","Short Browser Version","Engine","Engine Version","OS","OS Version","Measurement","Player Latency","showlatency","hidelatency","delay"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","166","99796","101000","100000"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","185","76884","110108","110000"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","150","51024","101376","100000"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","169","60000","110100","110000"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","150","51160","101368","100000"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","169","59864","110096","110000"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","150","50012","101512","100000"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","169","59860","110096","110000"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","151","51160","101512","100000"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","169","59868","110104","110000"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","150","51160","101512","100000"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","168","59620","110096","100000"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","151","51416","101496","100000"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","169","60248","110096","110000"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","167","67808","1096","100000"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","171","60752","110096","100000"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","150","51416","100352","100000"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","170","60756","110092","110000"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","150","5168","100104","100000"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","169","60756","110092","110000"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","153","51412","100344","100000"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","170","60380","110104","110000"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","151","51684","100352","100000"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","170","61016","112912","110000"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","178","80852","100108","100000"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","170","61280","112656","110000"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","164","64980","100480","100000"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","170","60500","11012","110000"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","167","68052","100488","100000"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","185","76372","110100","110000"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","150","51172","100600","100000"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","170","60376","110104","110000"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","151","51544","100608","100000"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","170","60764","110096","110000"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","150","51032","100736","100000"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","187","77524","112920","110000"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","165","65240","10232","100000"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","170","61140","112664","110000"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","181","81896","100216","100000"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","170","60888","112912","110000"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","165","64856","100608","100000"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","169","60632","110100","110000"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","150","51408","100472","100000"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","170","60756","110092","110000"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","150","51296","100472","100000"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","170","60504","110092","110000"
