"Browser","Browser Version","Short Browser Version","Engine","Engine Version","OS","OS Version","Measurement","Player Latency","showlatency","hidelatency","delay"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","153","70376","258048","100000"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","168","105048","157584","110000"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","155","86236","157704","100000"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","156","71520","157704","110000"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","160","88668","157056","100000"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","156","72156","157456","110000"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","148","72156","157704","100000"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","154","69216","159760","110000"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","143","70104","159104","100000"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","155","69852","159640","110000"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","147","69588","159744","100000"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","154","69720","159496","110000"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","147","69480","159744","100000"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","155","69844","159368","110000"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","156","86488","159488","100000"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","154","69992","159260","110000"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","144","69848","159360","100000"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","154","69848","159368","110000"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","144","69732","159624","100000"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","155","69460","159760","110000"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","147","69592","159744","100000"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","155","69600","159632","110000"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","148","69596","142864","100000"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","156","69488","159764","110000"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","144","69592","142976","100000"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","156","69464","159768","110000"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","146","69460","159872","100000"
