"showlatency","hidelatency","delay", "Player Latency"
42192,126728,100000,138
37456,143368,110000,142
41304,123520,100000,136
39896,141208,110000,144
41304,123264,100000,137
41180,139660,110000,148
40792,123524,100000,136
40668,140176,110000,143
40532,123520,100000,134
40788,140176,110000,147
40656,123520,100000,136
40532,140304,110000,146
40028,124160,100000,137
40664,140176,110000,145
40660,123520,100000,134
40664,140304,110000,146
40536,123520,100000,135
40784,140048,110000,144
40532,123664,100000,134
40656,140304,110000,144
40528,123648,100000,136
40536,140300,110000,146
40668,123520,100000,135
40408,140432,110000,147
40536,123648,100000,134
40536,140432,110000,145
40668,123520,100000,135
40792,139920,110000,145
40660,123528,100000,136
40660,140304,110000,145
40408,123776,100000,135
40408,140432,110000,145
40544,123648,100000,136
40536,140432,110000,146
40400,123776,100000,135
40156,140560,110000,145
40668,123520,100000,135
40536,140432,110000,145
40280,123904,100000,134
40412,140432,110000,144
40404,123776,100000,135
40412,140560,110000,145
40280,124032,100000,136
40020,140688,110000,145
40284,123904,100000,136
40412,140432,110000,146
40276,123904,100000,134
40148,140816,110000,146
40276,123776,100000,134
40148,140816,110000,145
40148,124032,100000,134
40152,140688,110000,145
40276,123912,100000,136
40148,140688,110000,145
40280,124040,100000,136
40032,140816,110000,144
40020,124168,100000,134
40152,140688,110000,146
40152,124032,100000,134
40036,140812,110000,144
40152,124032,100000,134
40024,140944,110000,144
40156,124032,100000,135
40160,140692,110000,146
40276,123904,100000,135
40276,140552,110000,145
40156,124160,100000,134
40152,140696,110000,144
40024,124160,100000,135
40152,140680,110000,146
39636,124560,100000,135
39900,140936,110000,145
40148,124032,100000,134
40148,140808,110000,145
39892,124288,100000,135
40016,140808,110000,145
40028,124160,100000,135
40020,140824,110000,143
39908,124292,100000,135
40020,140824,110000,145
40028,124168,100000,134
40016,140936,110000,146
39912,124288,100000,133
39768,141064,110000,144
39892,124288,100000,135
39888,141064,110000,145
39896,124280,100000,135
39896,140936,110000,144
39892,124296,100000,133
39888,140936,110000,145
39888,124280,100000,135
39900,141064,110000,144
39508,124672,100000,135
39776,141076,110000,144
39896,124280,100000,135
39644,141320,110000,144
39768,124280,100000,135
39772,141192,110000,145
39764,124408,100000,133
39896,140944,110000,145
39892,124280,100000,135
39768,141072,110000,143
39768,124536,100000,133
39764,141072,110000,145
39640,124544,100000,134
39632,141200,110000,145
39768,124416,100000,133
39508,141464,110000,145
39632,124408,100000,134
39636,141328,110000,144
39640,124536,100000,135
39656,141320,110000,145
39376,124664,100000,133
39644,141324,110000,143
39512,124664,100000,134
39524,141320,110000,143
39252,124936,100000,135
39384,141456,110000,142
39388,124792,100000,134
39380,141456,110000,144
39376,124792,100000,134
39508,141328,110000,146
39508,124792,100000,134
39380,141456,110000,144
39376,124792,100000,133
39380,141456,110000,142
39376,124808,100000,135
39376,141584,110000,144
39384,124800,100000,134
39380,141456,110000,144
39384,124800,100000,134
39252,141712,110000,145
39256,124800,100000,134
39256,141712,110000,145
39388,124800,100000,134
39384,141456,110000,142
39260,124936,100000,133
39256,141584,110000,144
39260,124944,100000,135
39256,141712,110000,144
39124,125056,100000,133
39264,141584,110000,144
39120,125056,100000,134
39132,141848,110000,146
39128,124928,100000,132
39264,141584,110000,143
39260,125064,100000,132
39132,141712,110000,143
38232,125952,100000,134
38488,142360,110000,143
39124,125184,100000,136
38996,141840,110000,143
38996,125184,100000,134
39136,141712,110000,145
38864,125312,100000,134
39256,141592,110000,143
39004,125320,100000,133
38740,142096,110000,142
38872,125320,100000,134
38488,142488,110000,144
38864,125184,100000,133
38744,142224,110000,144
38868,125312,100000,133
38752,142096,110000,143
38736,125440,100000,133
38620,142352,110000,143
38484,125700,100000,133
38492,142352,110000,142
38232,125960,100000,133
38480,142352,110000,143
38612,125704,100000,134
38740,141976,110000,144
38484,125696,100000,133
38484,142480,110000,144
38488,125696,100000,133
38488,142352,110000,141
38492,125704,100000,133
38488,142352,110000,142
38488,125696,100000,133
38612,142352,110000,144
38116,126088,100000,133
38360,142480,110000,144
38500,125696,100000,132
38364,142608,110000,144
38364,125704,100000,133
38496,142480,110000,144
38364,125832,100000,132
38372,142480,110000,142
38352,125824,100000,133
38360,142480,110000,143
38240,125944,100000,135
38364,142608,110000,143
38224,125952,100000,131
38224,142608,110000,143
38228,125952,100000,133
38108,142864,110000,144
38104,126080,100000,133
38228,142488,110000,141
38484,125824,100000,133
38228,142616,110000,142
