"Browser","Browser Version","Short Browser Version","Engine","Engine Version","OS","OS Version","Measurement","Player Latency","showlatency","hidelatency","delay"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","783","87132","754688","300"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","343","44444","359768","700"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","740","41044","754672","300"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","343","44448","354656","700"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","744","44440","759808","300"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","340","41028","354640","700"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","743","44440","754680","300"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","344","44484","354680","700"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","743","44424","756376","300"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","342","42760","356352","700"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","742","42756","756400","300"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","343","44432","358064","700"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","740","41028","756408","300"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","341","42756","354668","700"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","743","46124","754680","300"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","344","44456","356352","700"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","741","42756","754684","300"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","344","44448","356360","700"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","743","44448","756400","300"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","342","42752","354656","700"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","743","44424","754688","300"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","345","46160","354640","700"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","744","44460","756392","300"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","342","42740","354648","700"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","745","44436","754712","300"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","345","46152","358060","700"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","740","41048","754688","300"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","344","44436","354648","700"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","742","44460","756392","300"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","343","44452","356472","700"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","742","42740","754688","300"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","344","44436","354640","700"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","744","44464","754688","300"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","345","46148","358064","700"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","740","41048","756392","300"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","342","42752","354648","700"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","744","44452","754696","300"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","345","46144","354640","700"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","743","44444","758104","300"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","340","41040","356352","700"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","742","42732","756400","300"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","342","42756","356352","700"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","744","44436","754688","300"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","345","46140","356352","700"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","742","42756","754692","300"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","343","44448","354632","700"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","743","44456","754696","300"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","344","44468","356348","700"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","743","44452","758104","300"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","340","41040","356360","700"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","742","42748","756392","300"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","342","42752","354752","700"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","745","46140","754688","300"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","343","44456","358056","700"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","740","41040","756396","300"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","341","42736","356352","700"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","743","44460","754688","300"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","344","44464","354648","700"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","743","44448","758096","300"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","342","42740","354656","700"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","743","44452","754688","300"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","344","44460","354648","700"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","743","44452","754680","300"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","345","46172","356360","700"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","742","42728","754688","300"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","343","44452","354640","700"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","744","44460","754688","300"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","345","46152","354648","700"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","743","44444","756400","300"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","342","42752","356360","700"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","742","42732","754688","300"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","344","44448","356360","700"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","744","44444","758104","300"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","340","41052","356352","700"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","742","42740","756400","300"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","340","42756","356360","700"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","744","44420","758120","300"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","340","41036","356352","700"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","743","44460","754688","300"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","344","44444","354640","700"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","743","44448","754696","300"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","345","46168","354656","700"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","744","44440","754688","300"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","343","44456","354648","700"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","743","44456","754692","300"
"Chrome","61.0.3163.100","61","WebKit","537.36","Windows","10","minno","345","46144","354648","700"
