"Browser","Browser Version","Short Browser Version","Engine","Engine Version","OS","OS Version","Measurement","Player Latency","showlatency","hidelatency","delay"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","366","106024","383664","300"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","768","105916","783700","700"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","378","105892","383656","300"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","770","105900","783704","700"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","378","105912","383656","300"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","770","104180","785416","700"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","378","104184","385368","300"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","770","104196","785408","700"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","380","104192","385360","300"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","779","87132","785400","700"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","374","97360","385368","300"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","778","97356","785408","700"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","374","97356","385368","300"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","771","99072","783704","700"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","372","97360","385368","300"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","775","99072","783704","700"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","368","99056","383664","300"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","782","99088","800760","700"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","379","99056","383664","300"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","777","99052","783712","700"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","371","99068","385368","300"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","777","97352","783696","700"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","377","99064","385368","300"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","777","97360","785408","700"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","370","97356","385368","300"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","773","97360","785416","700"
