"Browser","Browser Version","Short Browser Version","Engine","Engine Version","OS","OS Version","Measurement","Player Latency","showlatency","hidelatency","delay"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","354","56360","352936","300"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","744","46156","752976","700"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","345","46148","352944","300"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","747","47832","751296","700"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","347","47868","351240","300"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","747","47856","751272","700"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","347","47856","352968","300"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","748","47860","751272","700"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","347","47844","352944","300"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","745","46152","752992","700"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","344","46176","352944","300"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","747","47860","752976","700"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","346","46140","352968","300"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","745","46156","752980","700"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","346","46168","352936","300"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","747","47856","751272","700"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","347","47888","352936","300"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","746","46140","753000","700"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","345","46164","354656","300"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","745","46156","752984","700"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","345","46156","352952","300"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","745","46156","752984","700"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","346","47864","351348","300"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","747","47876","752984","700"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","346","46152","352944","300"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","745","46164","752976","700"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","346","46180","352936","300"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","747","47864","751272","700"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","347","47868","351240","300"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","748","49580","751272","700"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","345","80284","352944","300"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","746","46164","752976","700"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","347","47888","351232","300"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","747","47860","751264","700"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","347","47864","352944","300"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","745","46176","752980","700"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","347","47848","352936","300"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","745","46168","752976","700"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","345","46176","352940","300"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","747","47860","751248","700"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","347","47884","352936","300"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","745","46176","752976","700"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","345","46152","352936","300"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","747","47864","751288","700"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","347","47872","351348","300"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","747","47868","751276","700"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","347","47864","352936","300"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","746","47868","752976","700"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","345","46156","352960","300"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","745","46128","751280","700"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","346","47868","352944","300"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","747","47876","751268","700"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","347","47860","352944","300"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","745","46140","752976","700"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","345","46176","352944","300"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","747","47852","751280","700"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","347","47868","352936","300"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","745","46152","752976","700"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","346","46148","352960","300"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","747","47848","751264","700"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","347","47864","352952","300"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","745","46128","752984","700"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","345","46176","352944","300"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","746","47856","751272","700"
"Firefox","55.0","55","Gecko","55.0","Windows","10","minno","347","47848","351232","300"
