"Browser","Browser Version","Short Browser Version","Engine","Engine Version","OS","OS Version","Measurement","Player Latency","showlatency","hidelatency","delay"
"IE","11.0","11","Trident","7.0","Windows","10","minno","753","75208","768336","300"
"IE","11.0","11","Trident","7.0","Windows","10","minno","363","64924","368300","700"
"IE","11.0","11","Trident","7.0","Windows","10","minno","764","64920","766632","300"
"IE","11.0","11","Trident","7.0","Windows","10","minno","364","66632","368296","700"
"IE","11.0","11","Trident","7.0","Windows","10","minno","761","63228","768340","300"
"IE","11.0","11","Trident","7.0","Windows","10","minno","364","64936","368404","700"
"IE","11.0","11","Trident","7.0","Windows","10","minno","763","64932","768344","300"
"IE","11.0","11","Trident","7.0","Windows","10","minno","365","82000","366600","700"
"IE","11.0","11","Trident","7.0","Windows","10","minno","763","64932","768340","300"
"IE","11.0","11","Trident","7.0","Windows","10","minno","363","64932","368296","700"
"IE","11.0","11","Trident","7.0","Windows","10","minno","763","64932","768344","300"
"IE","11.0","11","Trident","7.0","Windows","10","minno","364","64936","366592","700"
"IE","11.0","11","Trident","7.0","Windows","10","minno","764","66628","766632","300"
"IE","11.0","11","Trident","7.0","Windows","10","minno","363","64932","368296","700"
"IE","11.0","11","Trident","7.0","Windows","10","minno","763","64924","768344","300"
"IE","11.0","11","Trident","7.0","Windows","10","minno","364","64936","368304","700"
"IE","11.0","11","Trident","7.0","Windows","10","minno","763","64924","766640","300"
"IE","11.0","11","Trident","7.0","Windows","10","minno","363","64932","368304","700"
"IE","11.0","11","Trident","7.0","Windows","10","minno","764","81976","766632","300"
"IE","11.0","11","Trident","7.0","Windows","10","minno","364","66628","368296","700"
"IE","11.0","11","Trident","7.0","Windows","10","minno","763","64932","766632","300"
"IE","11.0","11","Trident","7.0","Windows","10","minno","363","64928","368296","700"
"IE","11.0","11","Trident","7.0","Windows","10","minno","764","81996","766640","300"
"IE","11.0","11","Trident","7.0","Windows","10","minno","364","66664","366584","700"
"IE","11.0","11","Trident","7.0","Windows","10","minno","754","64940","768344","300"
"IE","11.0","11","Trident","7.0","Windows","10","minno","363","64944","368288","700"
"IE","11.0","11","Trident","7.0","Windows","10","minno","763","64928","768344","300"
