"","Browser","delay","n","mean","sd","min","max","IQR"
"1","Chrome",300,550,744.467272727273,2.22787069844314,740,783,2
"2","Chrome",700,550,344.438181818182,1.46445323653585,340,348,2
"3","Firefox",300,550,346.530909090909,1.30221511255658,341,355,1.75
"4","Firefox",700,550,746.623636363636,2.23610574484665,741,790,1
"5","Edge",300,550,374.6,4.946342322155,365,387,8
"6","Edge",700,550,773.778181818182,4.82119980339909,764,791,8
"7","IE",300,550,761.398181818182,4.03802468026511,750,769,0
"8","IE",700,550,363.298181818182,0.74302853637118,361,366,1
"9","Open Sesame",300,550,319.696523636364,14.983744409661,15.44,332.548,15.336
"10","Open Sesame",700,550,719.156938181818,28.6875715276288,71.544,732.512,15.3439999999999
