"Browser","Browser Version","Short Browser Version","Engine","Engine Version","OS","OS Version","Measurement","latency"
"IE","11.0","11","Trident","7.0","Windows","10","minno","93"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","96"
"IE","11.0","11","Trident","7.0","Windows","10","minno","100"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","100"
"IE","11.0","11","Trident","7.0","Windows","10","minno","100"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","100"
"IE","11.0","11","Trident","7.0","Windows","10","minno","94"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","100"
"IE","11.0","11","Trident","7.0","Windows","10","minno","100"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","100"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","100"
"IE","11.0","11","Trident","7.0","Windows","10","minno","100"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","100"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","100"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","100"
"IE","11.0","11","Trident","7.0","Windows","10","minno","100"
"IE","11.0","11","Trident","7.0","Windows","10","minno","100"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","100"
"IE","11.0","11","Trident","7.0","Windows","10","minno","96"
"IE","11.0","11","Trident","7.0","Windows","10","minno","100"
"IE","11.0","11","Trident","7.0","Windows","10","minno","100"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","100"
"IE","11.0","11","Trident","7.0","Windows","10","minno","100"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","100"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","100"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","98"
"IE","11.0","11","Trident","7.0","Windows","10","minno","100"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","100"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","102"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","100"
"IE","11.0","11","Trident","7.0","Windows","10","minno","100"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","100"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","100"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","101"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","100"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","98"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","98"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","100"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","100"
"IE","11.0","11","Trident","7.0","Windows","10","minno","100"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","101"
"IE","11.0","11","Trident","7.0","Windows","10","minno","99"
