"Browser","Browser Version","Short Browser Version","Engine","Engine Version","OS","OS Version","Measurement","showlatency","hidelatency","delay","measuredto"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","92","5232","50","54"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","3500","5120","100","113"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","1792","6848","110","119"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","88","339556","1000","1002"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","88","6832","50","57"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","1808","5128","100","99"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","3496","5120","110","120"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","88","360120","1000","1004"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","1792","5120","50","55"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","1796","5136","100","109"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","1800","6832","110","113"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","92","349896","1000","1003"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","1804","5120","50","60"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","1812","5136","100","113"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","3496","5120","110","118"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","92","339636","1000","999"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","88","5136","50","57"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","1808","6828","100","99"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","1792","6824","110","118"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","88","358396","1000","1006"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","1796","5120","50","55"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","3496","3416","100","108"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","3504","5136","110","116"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","88","348096","1000","999"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","3512","5120","50","60"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","1800","5120","100","111"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","3508","3416","110","116"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","92","351604","1000","1006"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","88","5120","50","60"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","3504","5120","100","103"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","1796","5120","110","122"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","92","349804","1000","1008"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","92","6832","50","50"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","88","6844","100","108"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","1800","6824","110","118"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","88","337876","1000","1001"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","88","6824","50","56"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","1804","6844","100","114"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","1800","6816","110","118"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","92","339620","1000","1000"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","96","6836","50","57"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","1800","6840","100","113"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","1796","5128","110","115"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","88","339644","1000","999"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","88","5124","50","57"
"Chrome","60.0.3112.113","60","WebKit","537.36","Windows","10","minno","1796","6848","100","98"
