"Browser","Browser Version","Short Browser Version","Engine","Engine Version","OS","OS Version","Measurement","showlatency","hidelatency","delay","measuredto"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","102504","51208","50","32"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","97376","104104","100","82"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","95656","119464","110","99"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","97376","1017172","1000","994"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","105900","51200","50","33"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","97380","102400","100","83"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","97364","104104","110","82"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","95664","1018888","1000","990"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","104200","35840","50","18"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","97376","100688","100","83"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","99080","117760","110","99"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","97380","1001808","1000","985"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","88848","51200","50","33"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","107596","102396","100","83"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","104204","117760","110","99"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","88832","1018888","1000","996"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","87140","51200","50","33"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","107584","102400","100","82"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","87144","117760","110","99"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","82012","1018888","1000","999"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","87124","52912","50","33"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","107596","100696","100","83"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","104200","121176","110","99"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","102488","1001812","1000","980"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","93984","51204","50","33"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","92232","119468","100","98"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","95656","119472","110","99"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","97364","1017168","1000","994"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","105916","51196","50","33"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","99072","100688","100","82"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","82016","119472","110","99"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","95656","1018880","1000","989"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","88840","66560","50","49"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","92228","102396","100","82"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","97372","119464","110","99"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","95668","1018880","1000","998"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","88848","52904","50","33"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","105884","102400","100","83"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","104208","119468","110","99"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","104200","1017176","1000","993"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","111036","52912","50","33"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","97372","102400","100","83"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","95664","121176","110","99"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","95660","1018880","1000","986"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","87156","52896","50","33"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","107596","102400","100","82"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","104212","117768","110","99"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","87124","1018880","1000","995"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","104192","51208","50","33"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","99068","117760","100","99"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","97380","119464","110","99"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","97372","1020592","1000","995"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","102520","51192","50","33"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","99072","102400","100","83"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","95648","121176","110","98"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","95672","1017164","1000","987"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","88848","52896","50","33"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","107588","102400","100","82"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","104200","117760","110","99"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","87148","1018880","1000","998"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","104192","52916","50","33"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","95664","121168","100","96"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","95652","121176","110","99"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","95668","1017176","1000","991"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","105916","35840","50","19"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","95656","104104","100","83"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","95668","121172","110","99"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","95664","1018880","1000","986"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","87132","52908","50","33"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","90524","100700","100","83"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","99068","102392","110","82"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","97364","1017176","1000","988"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","88856","51208","50","32"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","90524","104104","100","83"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","95664","102392","110","83"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","99084","1018872","1000","992"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","102484","35840","50","20"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","97368","100692","100","83"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","82008","119464","110","99"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","97368","1017168","1000","989"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","88852","52912","50","32"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","90524","100696","100","83"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","99076","117760","110","99"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","97376","1020588","1000","1000"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","102492","52904","50","33"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","97356","119468","100","99"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","95660","119464","110","99"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","97372","1017168","1000","994"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","105920","51192","50","33"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","99076","100696","100","83"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","99080","102396","110","83"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","95644","1018880","1000","993"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","104204","51200","50","33"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","99080","102400","100","83"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","97360","102408","110","83"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","97372","1017172","1000","989"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","88844","68264","50","49"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","90524","102400","100","82"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","97372","119468","110","98"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","97364","1018880","1000","989"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","104208","51200","50","33"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","97368","104104","100","83"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","95660","119472","110","99"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","97376","1017176","1000","992"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","105912","51200","50","33"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","97364","102400","100","83"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","97372","117760","110","98"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","99076","1017176","1000","990"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","104196","35848","50","18"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","99076","102404","100","83"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","95672","119464","110","99"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","97364","1001816","1000","985"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","87156","52912","50","33"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","107592","102400","100","83"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","87128","119472","110","99"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","95668","1020584","1000","998"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","102488","52912","50","33"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","97364","117760","100","98"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","99080","117760","110","99"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","97368","1018880","1000","991"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","87136","52912","50","33"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","90528","102408","100","83"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","97360","117760","110","99"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","82008","1017176","1000","1001"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","88820","52912","50","33"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","105892","102400","100","82"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","88848","117760","110","99"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","82028","1017168","1000","987"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","88836","52904","50","33"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","88832","102400","100","83"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","97368","104104","110","83"
"Edge","15.15063","15","EdgeHTML","15.15063","Windows","10","minno","95676","1020592","1000","987"
