Browser,Browser Version,Short Browser Version,Engine,Engine Version,OS,OS Version,Measurement,showlatency,hidelatency,delay,measuredto
Firefox,54,54,Gecko,54,Windows,10,minno,56332,68272,50,49
Firefox,54,54,Gecko,54,Windows,10,minno,41040,136528,100,99
Firefox,54,54,Gecko,54,Windows,10,minno,47868,134836,110,110
Firefox,54,54,Gecko,54,Windows,10,minno,47868,1001808,1000,999
Firefox,54,54,Gecko,54,Windows,10,minno,53012,68264,50,50
Firefox,54,54,Gecko,54,Windows,10,minno,42744,134824,100,99
Firefox,54,54,Gecko,54,Windows,10,minno,47872,134832,110,110
Firefox,54,54,Gecko,54,Windows,10,minno,47864,1001820,1000,1000
Firefox,54,54,Gecko,54,Windows,10,minno,54696,68264,50,50
Firefox,54,54,Gecko,54,Windows,10,minno,41028,136536,100,99
Firefox,54,54,Gecko,54,Windows,10,minno,46164,134828,110,109
Firefox,54,54,Gecko,54,Windows,10,minno,47876,1003520,1000,999
Firefox,54,54,Gecko,54,Windows,10,minno,53004,68264,50,49
Firefox,54,54,Gecko,54,Windows,10,minno,41044,134824,100,100
Firefox,54,54,Gecko,54,Windows,10,minno,49588,134832,110,110
Firefox,54,54,Gecko,54,Windows,10,minno,47872,1000116,1000,1000
Firefox,54,54,Gecko,54,Windows,10,minno,54704,69976,50,49
Firefox,54,54,Gecko,54,Windows,10,minno,41036,134824,100,99
Firefox,54,54,Gecko,54,Windows,10,minno,47880,134824,110,110
Firefox,54,54,Gecko,54,Windows,10,minno,47880,1001816,1000,999
Firefox,54,54,Gecko,54,Windows,10,minno,54700,68264,50,49
Firefox,54,54,Gecko,54,Windows,10,minno,41036,134824,100,99
Firefox,54,54,Gecko,54,Windows,10,minno,47888,136524,110,109
Firefox,54,54,Gecko,54,Windows,10,minno,46168,1001816,1000,999
Firefox,54,54,Gecko,54,Windows,10,minno,54708,69980,50,49
Firefox,54,54,Gecko,54,Windows,10,minno,56408,119464,100,99
Firefox,54,54,Gecko,54,Windows,10,minno,46164,134832,110,109
Firefox,54,54,Gecko,54,Windows,10,minno,49580,1001816,1000,1000
Firefox,54,54,Gecko,54,Windows,10,minno,53004,68264,50,49
Firefox,54,54,Gecko,54,Windows,10,minno,42752,133120,100,100
Firefox,54,54,Gecko,54,Windows,10,minno,49584,134824,110,109
Firefox,54,54,Gecko,54,Windows,10,minno,47880,1001812,1000,999
Firefox,54,54,Gecko,54,Windows,10,minno,54712,68272,50,50
Firefox,54,54,Gecko,54,Windows,10,minno,58116,119464,100,99
Firefox,54,54,Gecko,54,Windows,10,minno,46176,134824,110,110
Firefox,54,54,Gecko,54,Windows,10,minno,47872,1003528,1000,999
Firefox,54,54,Gecko,54,Windows,10,minno,53016,68272,50,48
Firefox,54,54,Gecko,54,Windows,10,minno,58088,117760,100,99
Firefox,54,54,Gecko,54,Windows,10,minno,49568,134832,110,109
Firefox,54,54,Gecko,54,Windows,10,minno,47868,1000104,1000,1000
Firefox,54,54,Gecko,54,Windows,10,minno,54712,69968,50,49
Firefox,54,54,Gecko,54,Windows,10,minno,41048,134824,100,99
Firefox,54,54,Gecko,54,Windows,10,minno,47868,134832,110,109
Firefox,54,54,Gecko,54,Windows,10,minno,47864,1001820,1000,1000
Firefox,54,54,Gecko,54,Windows,10,minno,54700,66560,50,48
Firefox,54,54,Gecko,54,Windows,10,minno,42756,134824,100,100
Firefox,54,54,Gecko,54,Windows,10,minno,47888,136532,110,109
Firefox,54,54,Gecko,54,Windows,10,minno,46152,1001816,1000,1000
Firefox,54,54,Gecko,54,Windows,10,minno,54724,68272,50,49
Firefox,54,54,Gecko,54,Windows,10,minno,41044,134824,100,100
Firefox,54,54,Gecko,54,Windows,10,minno,47876,134832,110,109
Firefox,54,54,Gecko,54,Windows,10,minno,49572,1034240,1000,1028
Firefox,54,54,Gecko,54,Windows,10,minno,54716,68272,50,49
Firefox,54,54,Gecko,54,Windows,10,minno,41048,134824,100,99
Firefox,54,54,Gecko,54,Windows,10,minno,47884,136536,110,110
Firefox,54,54,Gecko,54,Windows,10,minno,46172,1001820,1000,999
Firefox,54,54,Gecko,54,Windows,10,minno,54696,69976,50,50
Firefox,54,54,Gecko,54,Windows,10,minno,56412,119464,100,99
Firefox,54,54,Gecko,54,Windows,10,minno,47880,134828,110,109
Firefox,54,54,Gecko,54,Windows,10,minno,47868,1000112,1000,999
Firefox,54,54,Gecko,54,Windows,10,minno,54724,69972,50,49
Firefox,54,54,Gecko,54,Windows,10,minno,41036,134832,100,100
Firefox,54,54,Gecko,54,Windows,10,minno,47872,134824,110,110
Firefox,54,54,Gecko,54,Windows,10,minno,47872,1001816,1000,1000
Firefox,54,54,Gecko,54,Windows,10,minno,54716,68264,50,49
Firefox,54,54,Gecko,54,Windows,10,minno,58100,117768,100,99
Firefox,54,54,Gecko,54,Windows,10,minno,47884,136528,110,110
Firefox,54,54,Gecko,54,Windows,10,minno,46164,1001816,1000,1000
Firefox,54,54,Gecko,54,Windows,10,minno,54700,69976,50,49
Firefox,54,54,Gecko,54,Windows,10,minno,39328,136536,100,99
Firefox,54,54,Gecko,54,Windows,10,minno,46180,136536,110,109
Firefox,54,54,Gecko,54,Windows,10,minno,47864,1000104,1000,999
Firefox,54,54,Gecko,54,Windows,10,minno,54720,69968,50,50
Firefox,54,54,Gecko,54,Windows,10,minno,41052,134824,100,100
Firefox,54,54,Gecko,54,Windows,10,minno,47888,134824,110,110
Firefox,54,54,Gecko,54,Windows,10,minno,47880,1001816,1000,999
Firefox,54,54,Gecko,54,Windows,10,minno,54704,68272,50,50
Firefox,54,54,Gecko,54,Windows,10,minno,41028,134832,100,100
Firefox,54,54,Gecko,54,Windows,10,minno,47868,136528,110,109
Firefox,54,54,Gecko,54,Windows,10,minno,46180,1003528,1000,1000
Firefox,54,54,Gecko,54,Windows,10,minno,52984,68272,50,50
Firefox,54,54,Gecko,54,Windows,10,minno,41048,134824,100,100
Firefox,54,54,Gecko,54,Windows,10,minno,49580,134832,110,109
Firefox,54,54,Gecko,54,Windows,10,minno,47876,1001808,1000,999
Firefox,54,54,Gecko,54,Windows,10,minno,53012,69976,50,50
Firefox,54,54,Gecko,54,Windows,10,minno,41028,134828,100,100
Firefox,54,54,Gecko,54,Windows,10,minno,47880,134824,110,109
Firefox,54,54,Gecko,54,Windows,10,minno,47876,1000104,1000,999
Firefox,54,54,Gecko,54,Windows,10,minno,39368,85336,50,50
Firefox,54,54,Gecko,54,Windows,10,minno,41044,136536,100,99
Firefox,54,54,Gecko,54,Windows,10,minno,46164,134832,110,109
Firefox,54,54,Gecko,54,Windows,10,minno,47888,1001816,1000,999
Firefox,54,54,Gecko,54,Windows,10,minno,54696,68272,50,50
Firefox,54,54,Gecko,54,Windows,10,minno,41024,134824,100,99
Firefox,54,54,Gecko,54,Windows,10,minno,47876,136536,110,109
Firefox,54,54,Gecko,54,Windows,10,minno,47864,1001816,1000,999
Firefox,54,54,Gecko,54,Windows,10,minno,52996,68264,50,50
Firefox,54,54,Gecko,54,Windows,10,minno,41048,134824,100,99
Firefox,54,54,Gecko,54,Windows,10,minno,49576,134824,110,110
Firefox,54,54,Gecko,54,Windows,10,minno,47864,1001816,1000,1000
Firefox,54,54,Gecko,54,Windows,10,minno,53000,69976,50,50
Firefox,54,54,Gecko,54,Windows,10,minno,41036,134832,100,99
Firefox,54,54,Gecko,54,Windows,10,minno,47868,134832,110,109
Firefox,54,54,Gecko,54,Windows,10,minno,47888,1001816,1000,1000
Firefox,54,54,Gecko,54,Windows,10,minno,54704,68264,50,50
Firefox,54,54,Gecko,54,Windows,10,minno,41024,134828,100,99
Firefox,54,54,Gecko,54,Windows,10,minno,64936,151896,110,119
Firefox,54,54,Gecko,54,Windows,10,minno,47876,1001816,1000,999
Firefox,54,54,Gecko,54,Windows,10,minno,54708,68264,50,50
Firefox,54,54,Gecko,54,Windows,10,minno,41040,136536,100,100
Firefox,54,54,Gecko,54,Windows,10,minno,46184,134828,110,110
Firefox,54,54,Gecko,54,Windows,10,minno,47872,1003520,1000,999
Firefox,54,54,Gecko,54,Windows,10,minno,53004,68264,50,49
Firefox,54,54,Gecko,54,Windows,10,minno,41044,134824,100,100
Firefox,54,54,Gecko,54,Windows,10,minno,49580,134832,110,109
Firefox,54,54,Gecko,54,Windows,10,minno,47868,1000104,1000,1000
Firefox,54,54,Gecko,54,Windows,10,minno,39336,85336,50,50
Firefox,54,54,Gecko,54,Windows,10,minno,41028,134832,100,100
Firefox,54,54,Gecko,54,Windows,10,minno,47880,134820,110,109
Firefox,54,54,Gecko,54,Windows,10,minno,47876,1001816,1000,1000
Firefox,54,54,Gecko,54,Windows,10,minno,54720,68272,50,50
Firefox,54,54,Gecko,54,Windows,10,minno,41056,134824,100,100
Firefox,54,54,Gecko,54,Windows,10,minno,47884,134824,110,110
Firefox,54,54,Gecko,54,Windows,10,minno,47884,1001816,1000,999
Firefox,54,54,Gecko,54,Windows,10,minno,54708,68276,50,50
Firefox,54,54,Gecko,54,Windows,10,minno,41024,134832,100,100
Firefox,54,54,Gecko,54,Windows,10,minno,49580,134824,110,110
Firefox,54,54,Gecko,54,Windows,10,minno,47876,1001816,1000,1000
Firefox,54,54,Gecko,54,Windows,10,minno,52992,69968,50,50
Firefox,54,54,Gecko,54,Windows,10,minno,41052,134832,100,100
Firefox,54,54,Gecko,54,Windows,10,minno,47880,134824,110,110
Firefox,54,54,Gecko,54,Windows,10,minno,47888,1001808,1000,999
Firefox,54,54,Gecko,54,Windows,10,minno,54716,66560,50,49
Firefox,54,54,Gecko,54,Windows,10,minno,42744,134832,100,100
Firefox,54,54,Gecko,54,Windows,10,minno,47856,134832,110,110
Firefox,54,54,Gecko,54,Windows,10,minno,47876,1001808,1000,999
Firefox,54,54,Gecko,54,Windows,10,minno,54716,68264,50,46
Firefox,54,54,Gecko,54,Windows,10,minno,41044,136536,100,100
Firefox,54,54,Gecko,54,Windows,10,minno,46168,136532,110,109
Firefox,54,54,Gecko,54,Windows,10,minno,47872,1001812,1000,1000
Firefox,54,54,Gecko,54,Windows,10,minno,53004,69976,50,49
Firefox,54,54,Gecko,54,Windows,10,minno,41040,134832,100,99
Firefox,54,54,Gecko,54,Windows,10,minno,47880,134824,110,110
Firefox,54,54,Gecko,54,Windows,10,minno,47876,1001816,1000,999
Firefox,54,54,Gecko,54,Windows,10,minno,54704,66552,50,50
Firefox,54,54,Gecko,54,Windows,10,minno,42748,134828,100,100
Firefox,54,54,Gecko,54,Windows,10,minno,47880,134820,110,109
Firefox,54,54,Gecko,54,Windows,10,minno,47872,1001808,1000,1000
Firefox,54,54,Gecko,54,Windows,10,minno,54712,68264,50,49
Firefox,54,54,Gecko,54,Windows,10,minno,41044,136528,100,100
Firefox,54,54,Gecko,54,Windows,10,minno,46172,136536,110,109
Firefox,54,54,Gecko,54,Windows,10,minno,46168,1003512,1000,999
Firefox,54,54,Gecko,54,Windows,10,minno,53000,69976,50,50
Firefox,54,54,Gecko,54,Windows,10,minno,41036,134832,100,100
Firefox,54,54,Gecko,54,Windows,10,minno,47884,134820,110,110
Firefox,54,54,Gecko,54,Windows,10,minno,47872,1001816,1000,999
Firefox,54,54,Gecko,54,Windows,10,minno,54720,66560,50,49
Firefox,54,54,Gecko,54,Windows,10,minno,42752,134824,100,99
Firefox,54,54,Gecko,54,Windows,10,minno,47888,136528,110,109
Firefox,54,54,Gecko,54,Windows,10,minno,46168,1001816,1000,999
Firefox,54,54,Gecko,54,Windows,10,minno,54712,68276,50,49
Firefox,54,54,Gecko,54,Windows,10,minno,41020,136536,100,100
Firefox,54,54,Gecko,54,Windows,10,minno,46172,134824,110,109
Firefox,54,54,Gecko,54,Windows,10,minno,49584,1001816,1000,1000
Firefox,54,54,Gecko,54,Windows,10,minno,52996,68264,50,50
Firefox,54,54,Gecko,54,Windows,10,minno,41036,134832,100,100
Firefox,54,54,Gecko,54,Windows,10,minno,49592,151888,110,119
Firefox,54,54,Gecko,54,Windows,10,minno,47880,1000104,1000,1000
Firefox,54,54,Gecko,54,Windows,10,minno,54708,69968,50,49
Firefox,54,54,Gecko,54,Windows,10,minno,41052,134816,100,99
Firefox,54,54,Gecko,54,Windows,10,minno,47884,134832,110,110
Firefox,54,54,Gecko,54,Windows,10,minno,47868,1001816,1000,1000
Firefox,54,54,Gecko,54,Windows,10,minno,54712,68264,50,49
Firefox,54,54,Gecko,54,Windows,10,minno,41044,134828,100,99
Firefox,54,54,Gecko,54,Windows,10,minno,47876,134824,110,110
Firefox,54,54,Gecko,54,Windows,10,minno,47876,1001816,1000,1000
Firefox,54,54,Gecko,54,Windows,10,minno,54712,68264,50,50
Firefox,54,54,Gecko,54,Windows,10,minno,41044,134832,100,99
Firefox,54,54,Gecko,54,Windows,10,minno,47892,136528,110,109
Firefox,54,54,Gecko,54,Windows,10,minno,46160,1001816,1000,996
Firefox,54,54,Gecko,54,Windows,10,minno,54724,69976,50,50
Firefox,54,54,Gecko,54,Windows,10,minno,41044,134824,100,99
Firefox,54,54,Gecko,54,Windows,10,minno,47868,134832,110,109
Firefox,54,54,Gecko,54,Windows,10,minno,47880,1001800,1000,999
Firefox,54,54,Gecko,54,Windows,10,minno,54712,66560,50,50
Firefox,54,54,Gecko,54,Windows,10,minno,42732,134832,100,99
Firefox,54,54,Gecko,54,Windows,10,minno,47888,134824,110,109
Firefox,54,54,Gecko,54,Windows,10,minno,47884,1001812,1000,999
Firefox,54,54,Gecko,54,Windows,10,minno,54708,68264,50,49
Firefox,54,54,Gecko,54,Windows,10,minno,41028,136536,100,100
Firefox,54,54,Gecko,54,Windows,10,minno,46160,136536,110,110
Firefox,54,54,Gecko,54,Windows,10,minno,46168,1003520,1000,1000
Firefox,54,54,Gecko,54,Windows,10,minno,53012,68272,50,49
Firefox,54,54,Gecko,54,Windows,10,minno,41052,136532,100,100
Firefox,54,54,Gecko,54,Windows,10,minno,47876,134824,110,109
Firefox,54,54,Gecko,54,Windows,10,minno,47884,1000112,1000,999
Firefox,54,54,Gecko,54,Windows,10,minno,56416,68264,50,50
Firefox,54,54,Gecko,54,Windows,10,minno,41036,134824,100,99
Firefox,54,54,Gecko,54,Windows,10,minno,47884,134824,110,110
Firefox,54,54,Gecko,54,Windows,10,minno,47872,1001816,1000,1000
Firefox,54,54,Gecko,54,Windows,10,minno,54696,68264,50,49
Firefox,54,54,Gecko,54,Windows,10,minno,41060,134816,100,99
Firefox,54,54,Gecko,54,Windows,10,minno,47872,136532,110,109
Firefox,54,54,Gecko,54,Windows,10,minno,46168,1001808,1000,999
Firefox,54,54,Gecko,54,Windows,10,minno,54716,69968,50,50
Firefox,54,54,Gecko,54,Windows,10,minno,41040,134824,100,99
Firefox,54,54,Gecko,54,Windows,10,minno,47880,134824,110,109
Firefox,54,54,Gecko,54,Windows,10,minno,47888,1001816,1000,999
Firefox,54,54,Gecko,54,Windows,10,minno,54720,66560,50,50
Firefox,54,54,Gecko,54,Windows,10,minno,42756,134824,100,99
Firefox,54,54,Gecko,54,Windows,10,minno,47876,136528,110,110
Firefox,54,54,Gecko,54,Windows,10,minno,46184,1001812,1000,999
Firefox,54,54,Gecko,54,Windows,10,minno,54704,68272,50,49
Firefox,54,54,Gecko,54,Windows,10,minno,41052,134824,100,100
Firefox,54,54,Gecko,54,Windows,10,minno,47892,168956,110,126
Firefox,54,54,Gecko,54,Windows,10,minno,47872,1001816,1000,999
Firefox,54,54,Gecko,54,Windows,10,minno,54720,66552,50,49
Firefox,54,54,Gecko,54,Windows,10,minno,42740,134832,100,100
Firefox,54,54,Gecko,54,Windows,10,minno,47876,136528,110,110
Firefox,54,54,Gecko,54,Windows,10,minno,46160,1001816,1000,999
Firefox,54,54,Gecko,54,Windows,10,minno,54712,102400,50,75
