"Browser","Browser Version","Short Browser Version","Engine","Engine Version","OS","OS Version","Measurement","showlatency","hidelatency","delay","measuredto"
"IE","11.0","11","Trident","7.0","Windows","10","minno","97356","83628","50","62"
"IE","11.0","11","Trident","7.0","Windows","10","minno","75156","117768","100","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","82000","117768","110","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","82000","1001816","1000","982"
"IE","11.0","11","Trident","7.0","Windows","10","minno","71788","66560","50","49"
"IE","11.0","11","Trident","7.0","Windows","10","minno","75180","117760","100","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","66660","133120","110","114"
"IE","11.0","11","Trident","7.0","Windows","10","minno","66664","1032528","1000","1014"
"IE","11.0","11","Trident","7.0","Windows","10","minno","73472","66560","50","49"
"IE","11.0","11","Trident","7.0","Windows","10","minno","75164","117760","100","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","66656","133120","110","116"
"IE","11.0","11","Trident","7.0","Windows","10","minno","66648","1015472","1000","997"
"IE","11.0","11","Trident","7.0","Windows","10","minno","73500","66560","50","49"
"IE","11.0","11","Trident","7.0","Windows","10","minno","76872","116056","100","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","66648","133120","110","114"
"IE","11.0","11","Trident","7.0","Windows","10","minno","82012","1018880","1000","999"
"IE","11.0","11","Trident","7.0","Windows","10","minno","71796","66560","50","49"
"IE","11.0","11","Trident","7.0","Windows","10","minno","75164","117760","100","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","66648","133120","110","114"
"IE","11.0","11","Trident","7.0","Windows","10","minno","66664","1017168","1000","997"
"IE","11.0","11","Trident","7.0","Windows","10","minno","71764","66560","50","49"
"IE","11.0","11","Trident","7.0","Windows","10","minno","76888","116048","100","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","66668","133128","110","116"
"IE","11.0","11","Trident","7.0","Windows","10","minno","66632","1017176","1000","999"
"IE","11.0","11","Trident","7.0","Windows","10","minno","71784","68272","50","49"
"IE","11.0","11","Trident","7.0","Windows","10","minno","75180","116044","100","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","66648","134824","110","114"
"IE","11.0","11","Trident","7.0","Windows","10","minno","82012","1017168","1000","999"
"IE","11.0","11","Trident","7.0","Windows","10","minno","71784","66552","50","49"
"IE","11.0","11","Trident","7.0","Windows","10","minno","76888","116056","100","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","83716","116048","110","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","66660","1017172","1000","998"
"IE","11.0","11","Trident","7.0","Windows","10","minno","71788","66560","50","49"
"IE","11.0","11","Trident","7.0","Windows","10","minno","76876","117752","100","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","64948","133116","110","113"
"IE","11.0","11","Trident","7.0","Windows","10","minno","66652","1034240","1000","1015"
"IE","11.0","11","Trident","7.0","Windows","10","minno","71784","66560","50","49"
"IE","11.0","11","Trident","7.0","Windows","10","minno","76892","117760","100","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","64936","133120","110","113"
"IE","11.0","11","Trident","7.0","Windows","10","minno","66648","1017168","1000","998"
"IE","11.0","11","Trident","7.0","Windows","10","minno","71780","68264","50","49"
"IE","11.0","11","Trident","7.0","Windows","10","minno","75184","117760","100","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","82016","117752","110","99"
"IE","11.0","11","Trident","7.0","Windows","10","minno","64948","1032532","1000","1013"
