"","showlatency","hidelatency","delay"
"1",56.368,52.916,50
"2",56.344,102.392,100
"3",63.168,119.44,110
"4",61.46,1003.512,1000
"5",51.224,69.92,50
"6",56.336,102.408,100
"7",63.172,121.144,110
"8",61.484,1001.768,1000
"9",51.228,52.868,50
"10",56.344,102.388,100
"11",63.16,105.8,110
"12",59.744,1003.532,1000
"13",51.232,69.908,50
"14",54.644,104.084,100
"15",63.156,117.756,110
"16",63.164,1003.5,1000
"17",51.236,69.908,50
"18",56.352,104.096,100
"19",61.456,117.752,110
"20",63.184,1003.488,1000
"21",52.92,68.22,50
"22",56.352,102.38,100
"23",63.144,122.872,110
"24",58.04,1003.5,1000
"25",52.944,68.192,50
"26",56.336,104.104,100
"27",61.46,119.448,110
"28",63.152,1001.812,1000
"29",52.928,52.864,50
"30",54.644,104.092,100
"31",63.168,117.732,110
"32",63.156,1003.508,1000
"33",51.22,69.916,50
"34",56.336,102.404,100
"35",63.168,117.74,110
"36",63.16,1005.216,1000
"37",66.556,52.888,50
"38",56.352,104.108,100
"39",61.452,119.448,110
"40",63.164,1000.088,1000
"41",52.936,54.568,50
"42",54.636,105.808,100
"43",59.764,121.136,110
"44",61.452,1001.82,1000
"45",52.94,68.208,50
"46",56.36,102.376,100
"47",63.176,105.792,110
"48",59.744,1001.8,1000
"49",52.96,56.24,50
"50",52.944,119.44,100
"51",63.16,117.752,110
"52",63.152,1005.228,1000
"53",66.568,54.584,50
"54",54.636,105.816,100
"55",59.756,121.144,110
"56",61.46,1001.8,1000
"57",52.932,68.224,50
"58",56.348,102.392,100
"59",63.164,104.1,110
"60",61.488,1001.76,1000
"61",52.932,56.272,50
"62",52.936,119.44,100
"63",63.148,117.76,110
"64",63.176,1005.204,1000
"65",66.588,52.856,50
"66",56.348,102.384,100
"67",61.464,121.16,110
"68",61.448,1003.52,1000
"69",51.236,54.56,50
"70",54.656,102.38,100
"71",63.148,122.88,110
"72",59.76,1001.784,1000
"73",52.932,69.944,50
"74",54.628,102.4,100
"75",63.148,104.096,110
"76",61.464,1005.208,1000
"77",66.584,52.864,50
"78",56.348,102.392,100
"79",63.156,119.452,110
"80",61.444,1003.512,1000
"81",51.236,52.848,50
"82",56.356,104.08,100
"83",61.472,119.432,110
"84",63.144,1001.812,1000
"85",52.924,51.16,50
"86",58.048,104.096,100
"87",61.444,117.756,110
"88",63.16,1001.808,1000
"89",52.936,54.556,50
"90",54.648,102.376,100
"91",63.152,119.476,110
"92",61.464,1003.496,1000
"93",51.224,73.336,50
"94",52.924,105.816,100
"95",59.772,122.84,110
"96",58.04,1005.22,1000
"97",66.56,54.588,50
"98",54.648,105.8,100
"99",59.736,121.16,110
"100",61.444,1001.812,1000
"101",52.928,68.224,50
"102",56.336,104.108,100
"103",61.448,119.46,110
"104",63.152,1005.216,1000
"105",66.58,52.868,50
"106",54.648,104.092,100
"107",63.164,117.74,110
"108",63.164,1003.508,1000
"109",68.272,52.88,50
"110",56.344,102.396,100
"111",63.164,117.752,110
"112",63.164,1005.216,1000
"113",66.58,54.568,50
"114",54.648,105.792,100
"115",59.752,122.864,110
"116",58.036,1005.208,1000
"117",66.572,54.568,50
"118",54.636,105.812,100
"119",59.764,121.152,110
"120",59.744,1003.5,1000
"121",52.932,68.204,50
"122",56.332,102.404,100
"123",63.164,105.792,110
"124",59.764,1001.792,1000
"125",52.932,69.936,50
"126",56.348,102.38,100
"127",61.484,121.128,110
"128",61.46,1006.912,1000
"129",64.876,54.568,50
"130",54.644,104.088,100
"131",61.456,117.748,110
"132",63.152,1003.52,1000
"133",52.928,68.22,50
"134",56.344,102.384,100
"135",63.16,119.456,110
"136",61.456,1003.5,1000
"137",52.944,68.208,50
"138",56.34,102.396,100
"139",63.152,121.168,110
"140",61.448,1001.804,1000
"141",52.96,73.304,50
"142",51.224,119.456,100
"143",63.188,119.416,110
"144",63.172,1005.212,1000
"145",64.876,56.272,50
"146",52.936,119.448,100
"147",63.152,121.176,110
"148",61.464,1001.784,1000
"149",51.236,71.616,50
"150",54.64,104.1,100
"151",61.472,119.428,110
"152",63.164,1003.496,1000
"153",66.556,54.588,50
"154",54.652,104.084,100
"155",61.448,119.472,110
"156",63.172,1001.768,1000
"157",52.932,68.224,50
"158",56.348,102.384,100
"159",63.18,105.784,110
"160",59.756,1001.8,1000
"161",52.924,73.336,50
"162",52.92,119.472,100
"163",61.464,121.132,110
"164",61.468,1005.192,1000
"165",66.58,52.868,50
"166",56.344,105.816,100
"167",59.744,119.456,110
