"","Browser","delay","n","mean","sd","min","max","IQR"
"1","Chrome",50,550,56.2654545454545,3.82810135620472,44,65,5
"2","Chrome",100,550,106.84,4.91047725636174,98,115,9
"3","Chrome",110,550,116.889090909091,4.06106273058404,108,126,6
"4","Chrome",1000,550,1006.33454545455,4.64327541974555,999,1015,8
"5","Firefox",50,550,49.9563636363636,3.18493514680999,46,86,1
"6","Firefox",100,550,99.5690909090909,2.21061956939891,88,148,1
"7","Firefox",110,550,109.801818181818,3.10220503921251,106,147,1
"8","Firefox",1000,550,999.469090909091,1.32440628032467,996,1028,1
"9","Edge",50,550,32.8727272727273,7.25003497373526,17,49,0
"10","Edge",100,550,85.3836363636364,6.09010256317618,81,101,1
"11","Edge",110,550,95.8963636363636,6.36776558010679,81,100,1
"12","Edge",1000,550,992.367272727273,5.95211782258518,969,1013,9
"13","IE",50,550,50.14,4.73336796724035,31,62,0
"14","IE",100,550,99.0181818181818,0.768005699046021,94,116,0
"15","IE",110,550,111.623636363636,7.50702072455956,97,125,9
"16","IE",1000,550,999.750909090909,7.83352220972786,982,1016,1
"17","Open Sesame",50,550,55.4913963636364,6.06625853061656,51.14,73.344,1.724
"18","Open Sesame",100,550,106.543134545455,7.06202610648508,85.332,122.888,3.40700000000001
"19","Open Sesame",110,550,114.702290909091,7.97498721920903,100.68,122.884,17.028
"20","Open Sesame",1000,550,1003.09650181818,3.15511110294799,984.744,1022.292,1.71199999999999
