Browser,"Browser Version","Short Browser Version",Engine,"Engine Version",OS,"OS Version",Measurement,Latnecy
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","Minno",28
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","Minno",50
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","Minno",63
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","Minno",118
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","Minno",626
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","Minno",43
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","Minno",155
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","Minno",27
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","Minno",32
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","Minno",39
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","Minno",163
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","Minno",88
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","Minno",51
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","Minno",267
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","Minno",64
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","Minno",107
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","Minno",90
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","Minno",107
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","Minno",78
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","Minno",140
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","Minno",89
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","Minno",100
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","Minno",99
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","Minno",100
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","Minno",99
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","Minno",100
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","Minno",98
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","Minno",101
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","Minno",99
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","Minno",100
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","Minno",99
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","Minno",99
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","Minno",99
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","Minno",99
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","Minno",99
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","Minno",99
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","Minno",99
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","Minno",112
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","Minno",97
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","Minno",42
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","Minno",111
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","Minno",91
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","Minno",99
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","Minno",98
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","Minno",102
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","Minno",100
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","Minno",99
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","Minno",100
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","Minno",99
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","Minno",99
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","Minno",99
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","Minno",99
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","Minno",100
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","Minno",100
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","Minno",99
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","Minno",100
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","Minno",98
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","Minno",99
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","Minno",100
