Browser,"Browser Version","Short Browser Version",Engine,"Engine Version",OS,"OS Version",Measurement,latency
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",95
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",99
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",99
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",99
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",98
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",99
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",99
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",99
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",99
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",99
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",99
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",100
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",99
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",100
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",99
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",99
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",100
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",99
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",100
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",99
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",99
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",99
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",101
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",99
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",99
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",99
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",99
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",99
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",100
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",99
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",100
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",100
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",99
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",101
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",99
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",100
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",99
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",99
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",99
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",100
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",99
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",100
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",100
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",100
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",99
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",100
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",113
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",100
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",99
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",100
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",99
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",99
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",99
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",98
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",100
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",99
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",99
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",99
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",99
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",99
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",100
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",99
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",100
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",100
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",99
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",100
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",99
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",99
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",100
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",99
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",99
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",99
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",99
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",99
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",99
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",99
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",100
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",99
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",100
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",100
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",100
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",99
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",100
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",100
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",99
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",99
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",99
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",99
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",100
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",99
"Safari","10.0.1","10","WebKit","602.2.14","Mac OS","10.11.6","Minno",100
