showLatency,hideLatency,delay
42324,207976,100
44756,207488,110
4136,3808,150
44372,191336,100
44128,191464,110
44372,258160,150
44248,191344,100
44120,208224,110
44132,241632,150
44248,224872,100
4424824928,110
38228,308704,150
44248,191464,100
44124,208128,110
44240,241512,150
44116,191616,100
43988,208360,110
43864,241912,150
43736,191848,100
44084,208240,110
44372,241376,150
43992,191720,100
43860,208512,110
43988,241768,150
43872,191744,100
43992,208368,110
43988,258544,150
43864,208496,100
43996,208384,110
44008,258396,150
43868,191848,100
44000,208264,110
43860,258672,150
43864,208368,100
43996,208392,110
43996,241768,150
43868,191872,100
43864,208232,110
44120,258536,150
43992,191720,100
43476,208872,110
44240,258304,150
43860,208488,100
43868,191752,110
43748,258660,150
43740,191976,100
44000,208368,110
43868,258544,150
43988,191600,100
43572,225512,110
43864,241896,150
43988,208384,100
43864,208496,110
43992,258544,150
43736,208624,100
43868,208520,110
43728,242028,150
43988,191600,100
43984,208352,110
43864,258656,150
43868,191736,100
44000,208488,110
43872,258564,150
43864,208480,100
43996,225120,110
43864,241776,150
43868,208512,100
43992,208360,110
43988,241792,150
44008,208384,100
43728,208624,110
43864,258560,150
43732,208744,100
43872,208392,110
43452,259048,150
43976,208360,100
43864,208496,110
43988,258536,150
43864,208492,100
43860,208480,110
43740,242048,150
43988,208360,100
43868,208520,110
43868,241896,150
43864,25136,100
43864,208480,110
31324,279552,150
44120,208232,100
44116,208256,110
43608,242144,150
43988,191608,100
43856,225256,110
43872,241928,150
43868,191632,100
44000,225136,110
43864,241896,150
43988,191720,100
43868,208384,110
43988,241776,150
43996,208384,100
43988,208352,110
43868,258656,150
43608,192120,100
43864,208488,110
43872,258688,150
43860,191712,100
43996,208384,110
43868,275208,150
43860,191840,100
43864,208512,110
43992,258408,150
43992,208376,100
43864,225248,110
43840,241920,150
43480,208872,100
43860,208504,110
43732,242016,150
43964,208352,100
43860,208496,110
43732,242152,150
43872,208384,100
43860,208496,110
43988,258544,150
43872,208488,100
43744,208520,110
43868,258696,150
43864,191720,100
43860,208496,110
43864,258544,150
43860,208616,100
43740,225160,110
43872,242024,150
43736,208512,100
44004,208356,110
43864,258672,150
43860,191720,100
43860,208504,110
43736,258792,150
44004,208392,100
43732,191848,110
43864,258688,150
43860,191720,100
43860,225264,110
43864,241896,150
43736,208632,100
43736,208616,110
43860,258536,150
43864,208488,100
43732,208616,110
43732,242024,150
43856,191864,100
43756,208476,110
43732,258784,150
43732,208616,100
43872,225256,110
45652,258408,150
44124,191376,100
44248,225008,110
43868,241920,150
43864,191712,100
43996,208392,110
43864,258656,150
43864,191720,100
44000,208360,110
43868,258568,150
44124,208264,100
43728,208616,110
44000,241800,150
43988,208360,100
44000,225016,110
44244,241512,150
44128,191596,100
43988,208368,110
43992,275312,150
43856,191608,100
43992,208360,110
43864,258664,150
43608,191976,100
44120,208240,110
44112,241648,150
44120,208256,100
44120,208240,110
44116,258544,150
43868,191632,100
43988,208352,110
43868,241888,150
44124,208232,100
44128,224904,110
44120,241648,150
44124,208232,100
43992,225120,110
44000,258432,150
43992,191588,100
44248,224880,110
43860,241896,150
44116,208248,100
43988,208360,110
44116,241656,150
44116,224872,100
28628,229864,110
42076,258544,150
43992,208360,100
43868,208484,110
43732,242028,150
43732,191976,100
43864,208368,110
43864,258656,150
43612,208776,100
43488,208872,110
43860,258536,150
43860,191848,100
43872,208512,110
43744,258664,150
43608,208744,100
43740,208608,110
43860,241904,150
43872,191752,100
43736,208616,110
43860,258664,150
43864,191728,100
43988,225144,110
43872,258576,150
43844,191720,100
43728,225280,110
43864,258660,150
43864,191872,100
43860,208496,110
43732,242032,150
43732,191864,100
43860,208616,110
43744,258688,150
43868,191720,100
43732,208616,110
37828,266600,150
42336,208256,100
43604,225504,110
43604,242160,150
43992,191600,100
43992,208352,110
43864,241884,150
44120,208256,100
44000,208360,110
4732,3440,150
44632,191848,100
43356,208992,110
43220,259304,150
43476,208872,100
43616,208640,110
43604,242152,150
43480,208872,100
43352,225768,110
43612,242176,150
43744,191848,100
43736,225272,110
43836,242032,150
43352,208880,100
43732,208736,110
43232,242536,150
43740,208604,100
43744,208608,110
43608,242144,150
43616,208648,100
43616,208784,110
43736,242032,150
43604,191976,100
43860,208488,110
43736,242040,150
43732,191976,100
43736,225264,110
43348,242408,150
43608,208752,100
43608,225392,110
43736,258792,150
43608,191976,100
43744,225408,110
43612,242152,150
43736,208616,100
43736,225256,110
43360,242432,150
43700,191976,100
43480,225636,110
43608,242168,150
43732,191848,100
43868,208504,110
43736,258664,150
43608,192104,100
43608,208744,110
43740,258800,150
43732,191848,100
43480,208880,110
43604,258912,150
43604,208760,100
43612,208744,110
43608,242032,150
44004,191624,100
43220,225888,110
43740,242016,150
43732,208616,100
43732,208616,110
43864,258672,150
