Browser,"Browser Version","Short Browser Version",Engine,"Engine Version",OS,"OS Version",Measurement,Latnecy
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno50",49
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno50",49
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno50",50
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno50",53
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno50",51
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno50",52
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno50",49
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno50",50
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno50",53
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno50",50
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno50",52
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno50",50
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno50",50
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno50",50
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno50",53
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno50",52
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno50",50
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno50",50
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno50",50
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno50",53
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno50",50
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno50",50
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno50",51
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno50",50
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno50",50
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno50",50
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno50",52
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno50",50
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno50",53
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno50",50
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno50",50
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno50",50
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno50",50
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno50",50
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno50",50
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno50",51
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno50",53
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno50",50
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno50",50
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno50",50
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno50",50
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno50",50
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno50",50
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno50",50
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno50",51
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno50",50
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno50",50
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno50",50
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno50",51
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno50",50
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno50",53
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno50",50
