Browser,"Browser Version","Short Browser Version",Engine,"Engine Version",OS,"OS Version",Measurement,delay,latency
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",52
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",50
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",50
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",51
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",54
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",55
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",54
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",51
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",53
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",51
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",54
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",53
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",53
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",53
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",50
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",54
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",51
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",50
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",55
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",54
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",54
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",52
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",54
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",52
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",55
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",50
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",53
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",53
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",55
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",51
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",54
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",52
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",51
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",50
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",55
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",55
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",54
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",55
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",55
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",50
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",52
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",54
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",52
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",51
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",52
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",53
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",50
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",53
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",55
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",52
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",52
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",51
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",52
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",53
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",51
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",53
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",54
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",55
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",52
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",52
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",51
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",52
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",51
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",51
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",51
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",50
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",52
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",54
"Chrome","54.0.2840.98","54","WebKit","537.36","Mac OS","10.11.6","minno","50",52
