Browser,"Browser Version","Short Browser Version",Engine,"Engine Version",OS,"OS Version",Measurement,Latnecy
"Firefox","49.0","49","Gecko","49.0","Mac OS","10.11","minno50",50
"Firefox","49.0","49","Gecko","49.0","Mac OS","10.11","minno50",50
"Firefox","49.0","49","Gecko","49.0","Mac OS","10.11","minno50",64
"Firefox","49.0","49","Gecko","49.0","Mac OS","10.11","minno50",50
"Firefox","49.0","49","Gecko","49.0","Mac OS","10.11","minno50",50
"Firefox","49.0","49","Gecko","49.0","Mac OS","10.11","minno50",50
"Firefox","49.0","49","Gecko","49.0","Mac OS","10.11","minno50",50
"Firefox","49.0","49","Gecko","49.0","Mac OS","10.11","minno50",50
"Firefox","49.0","49","Gecko","49.0","Mac OS","10.11","minno50",50
"Firefox","49.0","49","Gecko","49.0","Mac OS","10.11","minno50",53
"Firefox","49.0","49","Gecko","49.0","Mac OS","10.11","minno50",50
"Firefox","49.0","49","Gecko","49.0","Mac OS","10.11","minno50",162
"Firefox","49.0","49","Gecko","49.0","Mac OS","10.11","minno50",50
"Firefox","49.0","49","Gecko","49.0","Mac OS","10.11","minno50",49
"Firefox","49.0","49","Gecko","49.0","Mac OS","10.11","minno50",49
"Firefox","49.0","49","Gecko","49.0","Mac OS","10.11","minno50",50
"Firefox","49.0","49","Gecko","49.0","Mac OS","10.11","minno50",49
"Firefox","49.0","49","Gecko","49.0","Mac OS","10.11","minno50",50
"Firefox","49.0","49","Gecko","49.0","Mac OS","10.11","minno50",50
"Firefox","49.0","49","Gecko","49.0","Mac OS","10.11","minno50",50
"Firefox","49.0","49","Gecko","49.0","Mac OS","10.11","minno50",50
"Firefox","49.0","49","Gecko","49.0","Mac OS","10.11","minno50",49
"Firefox","49.0","49","Gecko","49.0","Mac OS","10.11","minno50",50
"Firefox","49.0","49","Gecko","49.0","Mac OS","10.11","minno50",50
"Firefox","49.0","49","Gecko","49.0","Mac OS","10.11","minno50",50
"Firefox","49.0","49","Gecko","49.0","Mac OS","10.11","minno50",50
"Firefox","49.0","49","Gecko","49.0","Mac OS","10.11","minno50",50
"Firefox","49.0","49","Gecko","49.0","Mac OS","10.11","minno50",50
"Firefox","49.0","49","Gecko","49.0","Mac OS","10.11","minno50",50
"Firefox","49.0","49","Gecko","49.0","Mac OS","10.11","minno50",50
"Firefox","49.0","49","Gecko","49.0","Mac OS","10.11","minno50",49
"Firefox","49.0","49","Gecko","49.0","Mac OS","10.11","minno50",50
"Firefox","49.0","49","Gecko","49.0","Mac OS","10.11","minno50",51
"Firefox","49.0","49","Gecko","49.0","Mac OS","10.11","minno50",50
"Firefox","49.0","49","Gecko","49.0","Mac OS","10.11","minno50",50
"Firefox","49.0","49","Gecko","49.0","Mac OS","10.11","minno50",50
"Firefox","49.0","49","Gecko","49.0","Mac OS","10.11","minno50",50
"Firefox","49.0","49","Gecko","49.0","Mac OS","10.11","minno50",49
"Firefox","49.0","49","Gecko","49.0","Mac OS","10.11","minno50",50
"Firefox","49.0","49","Gecko","49.0","Mac OS","10.11","minno50",50
"Firefox","49.0","49","Gecko","49.0","Mac OS","10.11","minno50",50
"Firefox","49.0","49","Gecko","49.0","Mac OS","10.11","minno50",50
"Firefox","49.0","49","Gecko","49.0","Mac OS","10.11","minno50",50
"Firefox","49.0","49","Gecko","49.0","Mac OS","10.11","minno50",50
"Firefox","49.0","49","Gecko","49.0","Mac OS","10.11","minno50",50
