"Browser","Browser Version","Short Browser Version","Engine","Engine Version","OS","OS Version","Measurement","delay","latency"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","50","50"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","150","149"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","300","300"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","50","49"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","150","150"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","300","300"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","50","50"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","150","150"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","300","300"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","50","49"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","150","150"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","300","300"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","50","49"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","150","150"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","300","300"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","50","50"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","150","150"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","300","300"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","50","49"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","150","150"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","300","300"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","50","50"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","150","150"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","300","299"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","50","49"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","150","150"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","300","300"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","50","49"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","150","149"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","300","300"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","50","50"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","150","150"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","300","300"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","50","50"
"Firefox","52.0","52","Gecko","52.0","Ubuntu","undefined","minno","150","150"
