"Browser","Browser Version","Short Browser Version","Engine","Engine Version","OS","OS Version","Measurement","delay","latency"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","50","49"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","150","150"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","300","300"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","800","800"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","50","50"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","150","150"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","300","300"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","800","800"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","50","50"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","150","150"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","300","300"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","800","800"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","50","50"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","150","150"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","300","300"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","800","800"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","50","50"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","150","150"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","300","300"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","800","800"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","50","49"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","150","150"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","300","300"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","800","800"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","50","50"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","150","150"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","300","299"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","800","800"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","50","50"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","150","151"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","300","300"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","800","800"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","50","50"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","150","150"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","300","300"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","800","800"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","50","50"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","150","150"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","300","300"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","800","800"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","50","50"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","150","150"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","300","300"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","800","799"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","50","50"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","150","150"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","300","300"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","800","800"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","50","76"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","150","150"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","300","300"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","800","799"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","50","50"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","150","150"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","300","299"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","800","800"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","50","50"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","150","149"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","300","300"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","800","800"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","50","50"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","150","150"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","300","300"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","800","800"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","50","50"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","150","150"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","300","299"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","800","800"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","50","50"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","150","150"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","300","300"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","800","800"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","50","50"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","150","150"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","300","299"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","800","800"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","50","49"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","150","150"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","300","300"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","800","800"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","50","50"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","150","150"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","300","300"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","800","800"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","50","50"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","150","149"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","300","299"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","800","800"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","50","50"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","150","150"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","300","300"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","800","799"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","50","50"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","150","150"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","300","300"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","800","799"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","50","50"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","150","150"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","300","300"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","800","800"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","50","50"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","150","150"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","300","300"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","800","800"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","50","50"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","150","150"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","300","300"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","800","800"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","50","50"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","150","150"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","300","300"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","800","800"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","50","50"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","150","150"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","300","300"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","800","800"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","50","50"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","150","149"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","300","300"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","800","800"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","50","50"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","150","150"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","300","300"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","800","800"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","50","50"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","150","150"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","300","300"
