"Browser","Browser Version","Short Browser Version","Engine","Engine Version","OS","OS Version","Measurement","delay","latency"
"IE","11.0","11","Trident","7.0","Windows","7","minno","50","61"
"IE","11.0","11","Trident","7.0","Windows","7","minno","150","174"
"IE","11.0","11","Trident","7.0","Windows","7","minno","300","322"
"IE","11.0","11","Trident","7.0","Windows","7","minno","800","808"
"IE","11.0","11","Trident","7.0","Windows","7","minno","50","74"
"IE","11.0","11","Trident","7.0","Windows","7","minno","150","174"
"IE","11.0","11","Trident","7.0","Windows","7","minno","300","308"
"IE","11.0","11","Trident","7.0","Windows","7","minno","800","807"
"IE","11.0","11","Trident","7.0","Windows","7","minno","50","71"
"IE","11.0","11","Trident","7.0","Windows","7","minno","150","156"
"IE","11.0","11","Trident","7.0","Windows","7","minno","300","306"
"IE","11.0","11","Trident","7.0","Windows","7","minno","800","810"
"IE","11.0","11","Trident","7.0","Windows","7","minno","50","57"
"IE","11.0","11","Trident","7.0","Windows","7","minno","150","166"
"IE","11.0","11","Trident","7.0","Windows","7","minno","300","309"
"IE","11.0","11","Trident","7.0","Windows","7","minno","800","808"
"IE","11.0","11","Trident","7.0","Windows","7","minno","50","55"
"IE","11.0","11","Trident","7.0","Windows","7","minno","150","169"
"IE","11.0","11","Trident","7.0","Windows","7","minno","300","323"
"IE","11.0","11","Trident","7.0","Windows","7","minno","800","809"
"IE","11.0","11","Trident","7.0","Windows","7","minno","50","57"
"IE","11.0","11","Trident","7.0","Windows","7","minno","150","166"
"IE","11.0","11","Trident","7.0","Windows","7","minno","300","311"
"IE","11.0","11","Trident","7.0","Windows","7","minno","800","811"
"IE","11.0","11","Trident","7.0","Windows","7","minno","50","57"
"IE","11.0","11","Trident","7.0","Windows","7","minno","150","166"
"IE","11.0","11","Trident","7.0","Windows","7","minno","300","305"
"IE","11.0","11","Trident","7.0","Windows","7","minno","800","808"
"IE","11.0","11","Trident","7.0","Windows","7","minno","50","57"
"IE","11.0","11","Trident","7.0","Windows","7","minno","150","152"
"IE","11.0","11","Trident","7.0","Windows","7","minno","300","324"
"IE","11.0","11","Trident","7.0","Windows","7","minno","800","810"
"IE","11.0","11","Trident","7.0","Windows","7","minno","50","73"
"IE","11.0","11","Trident","7.0","Windows","7","minno","150","166"
"IE","11.0","11","Trident","7.0","Windows","7","minno","300","308"
"IE","11.0","11","Trident","7.0","Windows","7","minno","800","810"
"IE","11.0","11","Trident","7.0","Windows","7","minno","50","59"
"IE","11.0","11","Trident","7.0","Windows","7","minno","150","165"
"IE","11.0","11","Trident","7.0","Windows","7","minno","300","323"
"IE","11.0","11","Trident","7.0","Windows","7","minno","800","811"
"IE","11.0","11","Trident","7.0","Windows","7","minno","50","57"
"IE","11.0","11","Trident","7.0","Windows","7","minno","150","167"
"IE","11.0","11","Trident","7.0","Windows","7","minno","300","310"
"IE","11.0","11","Trident","7.0","Windows","7","minno","800","809"
"IE","11.0","11","Trident","7.0","Windows","7","minno","50","60"
"IE","11.0","11","Trident","7.0","Windows","7","minno","150","166"
"IE","11.0","11","Trident","7.0","Windows","7","minno","300","310"
"IE","11.0","11","Trident","7.0","Windows","7","minno","800","809"
"IE","11.0","11","Trident","7.0","Windows","7","minno","50","57"
"IE","11.0","11","Trident","7.0","Windows","7","minno","150","151"
"IE","11.0","11","Trident","7.0","Windows","7","minno","300","309"
"IE","11.0","11","Trident","7.0","Windows","7","minno","800","810"
"IE","11.0","11","Trident","7.0","Windows","7","minno","50","74"
"IE","11.0","11","Trident","7.0","Windows","7","minno","150","166"
"IE","11.0","11","Trident","7.0","Windows","7","minno","300","310"
"IE","11.0","11","Trident","7.0","Windows","7","minno","800","809"
"IE","11.0","11","Trident","7.0","Windows","7","minno","50","71"
"IE","11.0","11","Trident","7.0","Windows","7","minno","150","153"
"IE","11.0","11","Trident","7.0","Windows","7","minno","300","322"
"IE","11.0","11","Trident","7.0","Windows","7","minno","800","812"
"IE","11.0","11","Trident","7.0","Windows","7","minno","50","57"
