Browser,"Browser Version","Short Browser Version",Engine,"Engine Version",OS,"OS Version",Measurement,delay,latencyatnecy
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",50
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",50
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",55
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",51
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",52
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",53
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",51
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",55
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",51
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",51
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",50
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",51
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",52
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",54
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",51
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",55
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",53
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",51
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",50
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",54
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",51
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",70
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",53
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",50
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",55
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",53
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",52
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",53
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",52
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",54
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",53
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",53
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",50
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",54
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",49
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",51
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",51
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",53
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",50
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",50
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",54
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",52
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",53
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",53
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",52
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",52
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",51
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",54
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",54
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",50
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",54
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",56
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",52
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",53
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",54
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",55
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",52
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",51
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",49
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",57
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",51
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",50
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",54
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",50
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",52
"Firefox","50.0","50","Gecko","50.0","Mac OS","10.11","minno","50",50
