"Browser","Browser Version","Short Browser Version","Engine","Engine Version","OS","OS Version","measurement","showlatency","hidellatency","delay","measuredto"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","72404","91512","100","101"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","53588","108144","110","111"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51288","158436","150","154"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","52576","108008","100","105"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51420","108160","110","111"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51548","158184","150","154"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51552","108144","100","103"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51156","108384","110","112"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","52664","141312","150","154"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51544","108008","100","102"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","52576","108136","110","113"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51272","141672","150","150"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51540","91368","100","101"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","53596","108144","110","110"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51540","158184","150","153"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51420","108136","100","102"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51536","108016","110","114"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51416","141536","150","153"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51556","91356","100","102"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","53604","108136","110","114"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51416","158312","150","153"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51776","91112","100","104"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","53592","108136","110","113"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51544","141432","150","154"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51540","108000","100","104"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51544","108152","110","114"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51540","141416","150","150"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","52564","108016","100","104"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51424","108124","110","113"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51540","141552","150","155"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51420","91488","100","102"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","53596","108008","110","114"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51540","158184","150","154"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","52572","108008","100","103"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51540","108136","110","114"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51552","141424","150","150"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51540","91368","100","104"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","53588","108144","110","110"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51284","141664","150","154"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51668","91248","100","102"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","53592","108008","110","112"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51676","141416","150","154"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","52568","91376","100","102"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","53716","107888","110","110"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","52568","158184","150","154"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51288","91612","100","101"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","53724","108000","110","113"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51540","158216","150","155"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51544","108008","100","104"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51424","108136","110","110"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51548","141424","150","153"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51416","91496","100","102"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","53716","108016","110","115"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51544","141408","150","151"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51544","108144","100","104"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51544","108008","110","113"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","52568","141424","150","154"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51552","91392","100","101"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","53720","107904","110","113"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51672","141416","150","152"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51160","91752","100","103"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","53716","108008","110","111"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51540","158064","150","155"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","52568","91376","100","102"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","53716","108016","110","110"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51672","158080","150","152"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51544","91248","100","100"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","53728","108008","110","115"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51672","141288","150","151"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51424","91520","100","103"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","54744","107896","110","110"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51420","141664","150","154"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51672","107872","100","103"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51672","108016","110","114"
