"Browser","Browser Version","Short Browser Version","Engine","Engine Version","OS","OS Version","Measurement","showlatency","hidelatency","delay","measuredto"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","53252","100592","100","101"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","49604","100692","110","111"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","49540","150020","150","150"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","51224","399220","400","400"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","51236","798580","800","800"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","51232","98872","100","100"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","35884","117656","110","110"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","51224","150024","150","150"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","49532","400912","400","400"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","49540","800272","800","800"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","49528","100560","100","100"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","51228","100592","110","110"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","49532","150008","150","150"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","51224","399192","400","400"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","51232","800264","800","800"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","49532","100592","100","100"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","51224","98856","110","111"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","35892","167112","150","150"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","51224","399200","400","400"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","51236","798576","800","800"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","52936","98856","100","101"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","54640","98884","110","110"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","35892","150112","150","150"
