"Browser","Browser Version","Short Browser Version","Engine","Engine Version","OS","OS Version","Measurement","showlatency","hidelatency","delay","measuredto"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","63192","98984","100","101"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","46184","117760","110","113"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","51292","150192","150","155"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","53020","401068","400","403"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","51296","802128","800","801"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","53020","100688","100","105"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","51240","100672","110","110"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","51300","151888","150","155"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","49620","402760","400","405"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","51300","803840","800","800"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","49608","102400","100","105"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","49592","102404","110","110"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","51292","151896","150","155"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","49604","404480","400","405"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","49616","803840","800","801"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","49600","102400","100","101"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","49588","119472","110","115"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","49624","153592","150","155"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","49608","402768","400","402"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","51224","803832","800","805"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","49588","102400","100","102"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","49588","119464","110","112"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","49596","153600","150","155"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","49580","402776","400","403"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","49580","805552","800","804"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","49592","102400","100","105"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","49600","119464","110","115"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","49600","153608","150","154"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","49532","402748","400","405"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","49596","805536","800","802"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","49524","102384","100","105"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","49596","119472","110","115"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","49604","151888","150","155"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","51312","402768","400","400"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","49612","803840","800","805"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","51292","102404","100","101"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","49592","102400","110","110"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","49600","151896","150","153"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","51288","402772","400","403"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","49596","803840","800","802"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","51308","102400","100","105"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","49540","119432","110","113"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","49520","151888","150","155"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","51288","402768","400","405"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","49520","803828","800","805"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","51300","102400","100","105"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","49596","102400","110","110"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","49580","153600","150","155"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","49620","402768","400","405"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","49536","805504","800","800"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","49600","102400","100","104"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","49592","119472","110","115"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","49596","151892","150","151"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","51304","402768","400","403"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","49600","803840","800","803"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","51300","102392","100","100"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","49612","102392","110","110"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","49600","151888","150","155"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","51308","402768","400","400"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","49524","803816","800","800"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","51300","102400","100","105"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","49604","119472","110","113"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","49588","151896","150","150"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","49596","404480","400","403"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","49596","803840","800","806"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","49584","102400","100","103"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","51300","117768","110","115"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","51312","151888","150","153"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","49604","404480","400","404"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","49596","803840","800","800"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","49600","102400","100","100"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","49604","102400","110","110"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","51308","151892","150","152"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","49616","404472","400","403"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","49596","803840","800","802"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","49612","102408","100","102"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","49592","102400","110","112"
"Chrome","58.0.3029.110","58","WebKit","537.36","Mac OS","10.11.6","minno","51304","151896","150","155"
