"Browser","Browser Version","Short Browser Version","Engine","Engine Version","OS","OS Version","Measurement","showlatency","hidelatency","delay","measuredto"
"Chrome","58.0.3029.81","58","WebKit","537.36","Linux","x86_64","minno","136460","18744","100","100"
"Chrome","58.0.3029.81","58","WebKit","537.36","Linux","x86_64","minno","47824","102280","110","110"
"Chrome","58.0.3029.81","58","WebKit","537.36","Linux","x86_64","minno","32492","167032","150","150"
"Chrome","58.0.3029.81","58","WebKit","537.36","Linux","x86_64","minno","32476","402576","400","400"
"Chrome","58.0.3029.81","58","WebKit","537.36","Linux","x86_64","minno","47808","802000","800","800"
"Chrome","58.0.3029.81","58","WebKit","537.36","Linux","x86_64","minno","47812","102264","100","100"
"Chrome","58.0.3029.81","58","WebKit","537.36","Linux","x86_64","minno","49528","100568","110","110"
"Chrome","58.0.3029.81","58","WebKit","537.36","Linux","x86_64","minno","49516","151712","150","150"
"Chrome","58.0.3029.81","58","WebKit","537.36","Linux","x86_64","minno","47820","400924","400","400"
"Chrome","58.0.3029.81","58","WebKit","537.36","Linux","x86_64","minno","51232","800264","800","800"
"Chrome","58.0.3029.81","58","WebKit","537.36","Linux","x86_64","minno","49520","100552","100","100"
"Chrome","58.0.3029.81","58","WebKit","537.36","Linux","x86_64","minno","49512","100568","110","110"
"Chrome","58.0.3029.81","58","WebKit","537.36","Linux","x86_64","minno","32488","168792","150","150"
"Chrome","58.0.3029.81","58","WebKit","537.36","Linux","x86_64","minno","32488","417960","400","400"
"Chrome","58.0.3029.81","58","WebKit","537.36","Linux","x86_64","minno","47816","801984","800","800"
"Chrome","58.0.3029.81","58","WebKit","537.36","Linux","x86_64","minno","49520","83512","100","100"
"Chrome","58.0.3029.81","58","WebKit","537.36","Linux","x86_64","minno","34200","119328","110","110"
"Chrome","58.0.3029.81","58","WebKit","537.36","Linux","x86_64","minno","47808","151768","150","150"
"Chrome","58.0.3029.81","58","WebKit","537.36","Linux","x86_64","minno","49532","400912","400","400"
"Chrome","58.0.3029.81","58","WebKit","537.36","Linux","x86_64","minno","49516","800304","800","800"
"Chrome","58.0.3029.81","58","WebKit","537.36","Linux","x86_64","minno","49552","100568","100","100"
"Chrome","58.0.3029.81","58","WebKit","537.36","Linux","x86_64","minno","49528","102264","110","110"
"Chrome","58.0.3029.81","58","WebKit","537.36","Linux","x86_64","minno","49528","134648","150","150"
"Chrome","58.0.3029.81","58","WebKit","537.36","Linux","x86_64","minno","49512","400880","400","400"
"Chrome","58.0.3029.81","58","WebKit","537.36","Linux","x86_64","minno","32492","819016","800","800"
"Chrome","58.0.3029.81","58","WebKit","537.36","Linux","x86_64","minno","47816","102288","100","100"
"Chrome","58.0.3029.81","58","WebKit","537.36","Linux","x86_64","minno","47816","102264","110","110"
