"Browser","Browser Version","Short Browser Version","Engine","Engine Version","OS","OS Version","measurement","showlatency","hidellatency","delay","measuredto"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","86984","92008","100","102"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","69592","108896","110","114"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67416","159080","150","153"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67556","108680","100","101"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67420","108896","110","115"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67288","159080","150","162"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","68712","108536","100","102"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","68692","108648","110","110"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67672","142048","150","151"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67172","109160","100","104"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67552","108776","110","112"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67544","142064","150","150"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67560","92152","100","101"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","69204","109176","110","114"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67780","141928","150","153"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67668","108672","100","102"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","685808","108804","110","110"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","82004","142184","150","151"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67688","91896","100","102"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","86612","208896","110","175"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67536","158816","150","152"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67672","108784","100","104"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67416","108776","110","110"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67540","142184","150","151"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67544","92016","100","101"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","69592","108904","110","110"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67896","141828","150","152"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67516","92008","100","100"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","69844","108520","110","111"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67420","142312","150","152"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","68704","91904","100","101"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","69600","108784","110","110"
