"Browser","Browser Version","Short Browser Version","Engine","Engine Version","OS","OS Version","Measurement","showlatency","hidelatency","delay","measuredto"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","84052","107520","100","106"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","78620","105816","110","112"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","80320","139944","150","151"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","80348","406176","400","404"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","80336","807248","800","800"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","80224","105808","100","105"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","80224","105816","110","113"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","78600","157012","150","151"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","80220","406184","400","401"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","97400","807252","800","803"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","179308","107520","100","101"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","85352","107512","110","111"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","78512","157024","150","155"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","78612","407888","400","404"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","78612","808960","800","801"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","78616","105816","100","103"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","80296","105824","110","113"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","80312","139952","150","153"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","78608","407892","400","401"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","78608","808960","800","804"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","78616","107520","100","105"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","78620","105812","110","112"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","80324","139952","150","151"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","78616","407888","400","402"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","80224","807248","800","805"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","80224","105816","100","104"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","80316","105816","110","113"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","78612","139944","150","150"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","80316","406188","400","401"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","80308","807256","800","804"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","80316","88752","100","103"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","73500","122880","110","113"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","80336","138232","150","151"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","80324","406180","400","405"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","80316","807256","800","802"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","80340","105808","100","103"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","80316","105816","110","111"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","80300","139944","150","151"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","78612","407892","400","401"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","78512","808960","800","801"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","78632","107520","100","102"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","78620","105816","110","110"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","80316","139952","150","152"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","78612","407896","400","401"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","80224","807256","800","801"
