"Browser","Browser Version","Short Browser Version","Engine","Engine Version","OS","OS Version","Measurement","showlatency","hidelatency","delay","measuredto"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","119512","68224","100","101"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","49536","117616","110","111"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","47828","151708","150","150"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","49520","400908","400","400"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","47812","801980","800","800"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","49540","100584","100","100"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","47812","119312","110","111"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","64868","134680","150","151"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","64864","385584","400","400"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","47820","817344","800","800"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","66576","83512","100","100"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","42736","117760","110","110"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","47804","151752","150","150"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","49528","400912","400","400"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","47816","801976","800","800"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","47836","102288","100","100"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","47824","119304","110","111"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","47828","168752","150","150"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","64868","383856","400","400"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","49512","801984","800","800"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","47816","117612","100","100"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","47812","119336","110","110"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","47816","168824","150","150"
"Firefox","53.0","53","Gecko","53.0","Ubuntu","undefined","minno","47820","417988","400","400"
