"Browser","Browser Version","Short Browser Version","Engine","Engine Version","OS","OS Version","Measurement","showlatency","hidelatency","delay","measuredto"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","75164","100692","100","101"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","66560","117640","110","110"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","66560","150088","150","150"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","66580","400936","400","400"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","66588","800292","800","800"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","66568","100592","100","101"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","66580","115912","110","110"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","68272","150064","150","150"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","66604","400928","400","400"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","66584","800304","800","800"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","66564","100576","100","100"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","66556","115940","110","110"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","66572","150072","150","150"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","68280","399248","400","400"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","68268","800288","800","800"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","68272","98864","100","100"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","69976","116008","110","110"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","66572","150056","150","150"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","66572","400932","400","400"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","66568","800312","800","800"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","66564","100576","100","100"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","66560","115952","110","110"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","68276","150064","150","150"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","66608","400896","400","400"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","66572","800292","800","800"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","68256","98864","100","101"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","69976","116020","110","110"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","66584","150040","150","150"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","68256","399248","400","400"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","66556","800308","800","800"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","66572","100568","100","100"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","66576","117640","110","110"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","66568","150044","150","150"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","68272","400928","400","401"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","66572","800320","800","800"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","66592","100560","100","100"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","66576","115920","110","110"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","66552","150072","150","150"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","68276","399220","400","400"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","68280","800288","800","800"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","66568","100568","100","100"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","66572","117632","110","110"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","68272","150052","150","150"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","66580","399228","400","400"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","66576","800296","800","800"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","66568","100568","100","100"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","66560","117664","110","110"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","66572","150064","150","150"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","66572","400944","400","400"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","66564","800284","800","801"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","66572","100592","100","100"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","66572","117616","110","110"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","66556","150092","150","150"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","66584","400944","400","400"
"Firefox","53.0","53","Gecko","53.0","Windows","7","minno","66572","800296","800","800"
