"Browser","Browser Version","Short Browser Version","Engine","Engine Version","OS","OS Version","Measurement","showlatency","hidelatency","delay","measuredto"
"IE","11.0","11","Trident","7.0","Windows","7","minno","56428","98984","100","111"
"IE","11.0","11","Trident","7.0","Windows","7","minno","52948","100608","110","112"
"IE","11.0","11","Trident","7.0","Windows","7","minno","66584","150048","150","165"
"IE","11.0","11","Trident","7.0","Windows","7","minno","83624","416328","400","424"
"IE","11.0","11","Trident","7.0","Windows","7","minno","51236","800252","800","803"
"IE","11.0","11","Trident","7.0","Windows","7","minno","66560","100576","100","109"
"IE","11.0","11","Trident","7.0","Windows","7","minno","66572","117640","110","115"
"IE","11.0","11","Trident","7.0","Windows","7","minno","66560","184184","150","185"
"IE","11.0","11","Trident","7.0","Windows","7","minno","66584","417976","400","420"
"IE","11.0","11","Trident","7.0","Windows","7","minno","66576","817340","800","818"
"IE","11.0","11","Trident","7.0","Windows","7","minno","49524","117624","100","109"
"IE","11.0","11","Trident","7.0","Windows","7","minno","66580","117632","110","125"
"IE","11.0","11","Trident","7.0","Windows","7","minno","81904","151784","150","162"
"IE","11.0","11","Trident","7.0","Windows","7","minno","81916","418024","400","425"
"IE","11.0","11","Trident","7.0","Windows","7","minno","66560","817392","800","814"
"IE","11.0","11","Trident","7.0","Windows","7","minno","66564","100568","100","102"
"IE","11.0","11","Trident","7.0","Windows","7","minno","83612","100600","110","109"
"IE","11.0","11","Trident","7.0","Windows","7","minno","49512","150056","150","156"
"IE","11.0","11","Trident","7.0","Windows","7","minno","83592","418040","400","424"
"IE","11.0","11","Trident","7.0","Windows","7","minno","83604","800336","800","811"
"IE","11.0","11","Trident","7.0","Windows","7","minno","66572","100584","100","110"
"IE","11.0","11","Trident","7.0","Windows","7","minno","66556","117640","110","111"
"IE","11.0","11","Trident","7.0","Windows","7","minno","66588","150072","150","156"
"IE","11.0","11","Trident","7.0","Windows","7","minno","83628","416328","400","424"
"IE","11.0","11","Trident","7.0","Windows","7","minno","66568","800316","800","806"
"IE","11.0","11","Trident","7.0","Windows","7","minno","83620","102280","100","114"
"IE","11.0","11","Trident","7.0","Windows","7","minno","64868","117640","110","110"
"IE","11.0","11","Trident","7.0","Windows","7","minno","49516","151744","150","164"
"IE","11.0","11","Trident","7.0","Windows","7","minno","83612","400972","400","412"
"IE","11.0","11","Trident","7.0","Windows","7","minno","64868","802016","800","804"
"IE","11.0","11","Trident","7.0","Windows","7","minno","66576","100592","100","112"
"IE","11.0","11","Trident","7.0","Windows","7","minno","83612","115940","110","114"
"IE","11.0","11","Trident","7.0","Windows","7","minno","83616","167164","150","183"
"IE","11.0","11","Trident","7.0","Windows","7","minno","83612","416328","400","423"
"IE","11.0","11","Trident","7.0","Windows","7","minno","49520","817348","800","812"
"IE","11.0","11","Trident","7.0","Windows","7","minno","68276","117640","100","111"
"IE","11.0","11","Trident","7.0","Windows","7","minno","64876","117620","110","118"
"IE","11.0","11","Trident","7.0","Windows","7","minno","66560","150072","150","164"
"IE","11.0","11","Trident","7.0","Windows","7","minno","83600","400976","400","419"
"IE","11.0","11","Trident","7.0","Windows","7","minno","83624","800304","800","810"
"IE","11.0","11","Trident","7.0","Windows","7","minno","66552","100600","100","110"
"IE","11.0","11","Trident","7.0","Windows","7","minno","66580","117624","110","124"
"IE","11.0","11","Trident","7.0","Windows","7","minno","47824","218320","150","219"
"IE","11.0","11","Trident","7.0","Windows","7","minno","83628","417992","400","423"
"IE","11.0","11","Trident","7.0","Windows","7","minno","66600","801956","800","805"
"IE","11.0","11","Trident","7.0","Windows","7","minno","64868","117636","100","112"
"IE","11.0","11","Trident","7.0","Windows","7","minno","49520","117616","110","116"
"IE","11.0","11","Trident","7.0","Windows","7","minno","66556","134712","150","153"
"IE","11.0","11","Trident","7.0","Windows","7","minno","81904","400964","400","415"
"IE","11.0","11","Trident","7.0","Windows","7","minno","66560","800312","800","806"
"IE","11.0","11","Trident","7.0","Windows","7","minno","81916","102304","100","115"
"IE","11.0","11","Trident","7.0","Windows","7","minno","83612","100576","110","110"
"IE","11.0","11","Trident","7.0","Windows","7","minno","81928","184200","150","188"
"IE","11.0","11","Trident","7.0","Windows","7","minno","85324","399248","400","412"
"IE","11.0","11","Trident","7.0","Windows","7","minno","85336","800304","800","804"
"IE","11.0","11","Trident","7.0","Windows","7","minno","66560","117636","100","112"
"IE","11.0","11","Trident","7.0","Windows","7","minno","66572","117644","110","117"
"IE","11.0","11","Trident","7.0","Windows","7","minno","66564","150048","150","161"
"IE","11.0","11","Trident","7.0","Windows","7","minno","83620","418016","400","423"
