"Browser","Browser Version","Short Browser Version","Engine","Engine Version","OS","OS Version","Measurement","showlatency","hidelatency","delay","measuredto"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","59348","174576","100","101"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","68668","107624","110","110"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","52956","157800","150","151"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","51552","108008","100","101"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","51676","107880","110","111"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","51684","141312","150","151"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","52960","90856","100","101"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","54112","107648","110","110"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","52972","141016","150","150"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","52024","90872","100","101"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","54104","107632","110","111"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","51924","141032","150","151"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","52052","90864","100","101"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","54872","107880","110","111"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","51796","141168","150","151"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","51676","91240","100","101"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","53988","107752","110","111"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","51808","141172","150","151"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","52824","91104","100","101"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","53976","107752","110","111"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","51672","141304","150","151"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","51936","90856","100","101"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","54216","107632","110","110"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","52820","141160","150","151"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","51932","90864","100","101"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","54112","107652","110","111"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","52004","141032","150","150"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","51800","90984","100","100"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","55000","107744","110","111"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","51924","141168","150","151"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","51928","90864","100","101"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","54100","107624","110","111"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","51924","141160","150","151"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","52840","107768","100","101"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","51796","107752","110","111"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","51916","141056","150","151"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","51924","90992","100","101"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","53848","107880","110","111"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","51924","141048","150","151"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","51940","90996","100","101"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","55000","107632","110","111"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","51924","141160","150","151"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","51664","91240","100","100"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","53972","107640","110","110"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","51808","141288","150","151"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","52824","90984","100","101"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","53984","107760","110","111"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","52952","141168","150","151"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","51676","91112","100","101"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","53848","107872","110","111"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","51808","141168","150","151"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","51804","91112","100","101"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","53844","107872","110","111"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","51668","141296","150","150"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","51556","91364","100","100"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","53984","107632","110","111"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","51796","141280","150","151"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","51804","91104","100","101"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","53976","107752","110","111"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","51548","141416","150","151"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","52704","91252","100","100"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","53728","107888","110","110"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","51940","141064","150","150"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","51800","91120","100","101"
"Safari","10.0.2","10","WebKit","602.3.12","Mac OS","10.11.6","minno","53588","108136","110","111"
