"Browser","Browser Version","Short Browser Version","Engine","Engine Version","OS","OS Version","Measurement","showlatency","hidelatency","delay","measuredto"
"Safari","10.1.1","10","WebKit","603.2.5","Mac OS","10.11.6","minno","66716","83632","100","101"
"Safari","10.1.1","10","WebKit","603.2.5","Mac OS","10.11.6","minno","63236","100696","110","111"
"Safari","10.1.1","10","WebKit","603.2.5","Mac OS","10.11.6","minno","68276","133128","150","150"
"Safari","10.1.1","10","WebKit","603.2.5","Mac OS","10.11.6","minno","68368","402776","400","400"
"Safari","10.1.1","10","WebKit","603.2.5","Mac OS","10.11.6","minno","68352","802136","800","801"
"Safari","10.1.1","10","WebKit","603.2.5","Mac OS","10.11.6","minno","68368","83624","100","101"
"Safari","10.1.1","10","WebKit","603.2.5","Mac OS","10.11.6","minno","61532","102400","110","111"
"Safari","10.1.1","10","WebKit","603.2.5","Mac OS","10.11.6","minno","66664","134824","150","151"
"Safari","10.1.1","10","WebKit","603.2.5","Mac OS","10.11.6","minno","66664","404480","400","401"
"Safari","10.1.1","10","WebKit","603.2.5","Mac OS","10.11.6","minno","66664","803840","800","800"
"Safari","10.1.1","10","WebKit","603.2.5","Mac OS","10.11.6","minno","66672","85336","100","101"
"Safari","10.1.1","10","WebKit","603.2.5","Mac OS","10.11.6","minno","59828","102400","110","110"
"Safari","10.1.1","10","WebKit","603.2.5","Mac OS","10.11.6","minno","66672","136536","150","151"
"Safari","10.1.1","10","WebKit","603.2.5","Mac OS","10.11.6","minno","66660","402772","400","400"
"Safari","10.1.1","10","WebKit","603.2.5","Mac OS","10.11.6","minno","66672","805548","800","801"
"Safari","10.1.1","10","WebKit","603.2.5","Mac OS","10.11.6","minno","64872","87032","100","101"
"Safari","10.1.1","10","WebKit","603.2.5","Mac OS","10.11.6","minno","59808","102400","110","111"
"Safari","10.1.1","10","WebKit","603.2.5","Mac OS","10.11.6","minno","66656","136544","150","151"
"Safari","10.1.1","10","WebKit","603.2.5","Mac OS","10.11.6","minno","64948","404480","400","400"
"Safari","10.1.1","10","WebKit","603.2.5","Mac OS","10.11.6","minno","66688","803840","800","800"
"Safari","10.1.1","10","WebKit","603.2.5","Mac OS","10.11.6","minno","66664","85328","100","100"
"Safari","10.1.1","10","WebKit","603.2.5","Mac OS","10.11.6","minno","59840","102404","110","111"
"Safari","10.1.1","10","WebKit","603.2.5","Mac OS","10.11.6","minno","66664","136528","150","151"
"Safari","10.1.1","10","WebKit","603.2.5","Mac OS","10.11.6","minno","66676","402772","400","401"
"Safari","10.1.1","10","WebKit","603.2.5","Mac OS","10.11.6","minno","66668","805544","800","801"
"Safari","10.1.1","10","WebKit","603.2.5","Mac OS","10.11.6","minno","66660","85328","100","101"
"Safari","10.1.1","10","WebKit","603.2.5","Mac OS","10.11.6","minno","59832","102392","110","111"
"Safari","10.1.1","10","WebKit","603.2.5","Mac OS","10.11.6","minno","66656","136536","150","151"
"Safari","10.1.1","10","WebKit","603.2.5","Mac OS","10.11.6","minno","66668","402768","400","401"
"Safari","10.1.1","10","WebKit","603.2.5","Mac OS","10.11.6","minno","66572","803840","800","801"
"Safari","10.1.1","10","WebKit","603.2.5","Mac OS","10.11.6","minno","66668","85336","100","100"
