showlatency,hidelatency,delay
41268,94064,100
42580,94184,110
42708,144232,150
32976,94192,100
42716,94064,110
42716,144232,150
32600,94560,100
42800,93928,110
42584,144384,150
32852,94328,100
42452,94320,110
42456,144504,150
32860,94312,100
42452,111080,110
32728,144488,150
32728,94320,100
42456,94448,110
42460,144520,150
32732,94344,100
42328,94448,110
42460,144520,150
32728,94328,100
42580,94312,110
42468,144528,150
32616,94460,100
42452,94328,110
42324,144640,150
32608,94460,100
41812,95088,110
42324,144624,150
32604,94440,100
42452,94440,110
42328,144624,150
32600,94440,100
42328,94568,110
42324,144624,150
32604,94452,100
42332,94432,110
42452,144624,150
32084,94952,100
42332,94592,110
42200,144752,150
32600,94432,100
42332,94464,110
42204,144768,150
32472,94580,100
42328,94592,110
42324,144632,150
32596,94432,100
42328,94576,110
42324,144616,150
32732,94432,100
25560,111336,110
32468,144736,150
32472,94560,100
42324,94576,110
42200,144744,150
32608,94560,100
42200,94568,110
42328,144616,150
32600,94568,100
42080,94692,110
42320,144616,150
32604,94592,100
42204,94576,110
42340,144640,150
32092,94940,100
42324,94576,110
41944,145128,150
32336,94568,100
42328,94592,110
42204,144760,150
32480,94568,100
42204,94720,110
42204,144736,150
32468,94568,100
42328,94568,110
42196,144640,150
32560,94576,100
42200,94696,110
42196,144752,150
32476,94704,100
42200,94440,110
42452,144512,150
32608,94704,100
42196,94568,110
42196,144744,150
3468,94584,100
42204,94704,110
42080,144764,150
32480,94712,100
42336,94568,110
42200,144744,150
32472,94560,100
42324,94464,110
42336,144640,150
32608,94560,100
42080,94688,110
42324,144752,150
32724,94312,100
42576,94192,110
42580,144384,150
32604,94440,100
42464,94456,110
42324,144760,150
32476,94560,100
42456,94184,110
42452,144608,150
32600,94560,100
42324,94576,110
42196,144736,150
32600,94448,100
42324,94464,110
42324,144624,150
32608,94592,100
42196,94584,110
42336,144640,150
32604,94464,100
42204,94696,110
42204,144744,150
31956,95200,100
42196,94560,110
42328,144624,150
32596,94456,100
42460,94328,110
25948,161000,150
32984,94184,100
42580,110952,110
32856,144360,150
32608,94576,100
42328,94440,110
42324,144744,150
32600,94440,100
42332,94592,110
42204,144768,150
32448,94560,100
41948,94816,110
42576,144352,150
32984,94192,100
42192,94712,110
42192,144776,150
32476,94568,100
42324,94440,110
42328,144744,150
32476,94568,100
42300,94592,110
41940,145000,150
32340,94688,100
42200,94576,110
42328,144744,150
32468,94576,100
42200,94720,110
42208,144736,150
32468,94568,100
42200,94568,110
42452,144608,150
32608,94464,100
42208,94712,110
42312,144616,150
32468,94704,100
42200,94568,110
42196,144760,150
32604,94456,100
42328,94576,110
42200,144736,150
32600,94440,100
42328,94568,110
42196,144752,150
32872,94068,100
42712,94208,110
42328,144640,150
32736,94328,100
42448,94328,110
42460,144512,150
32860,94300,100
42328,94568,110
42324,144624,150
32596,94568,100
42200,94576,110
42336,144648,150
32612,94584,100
42204,94560,110
42196,144872,150
32468,94560,100
42328,94464,110
42344,144640,150
32468,94688,100
42200,94576,110
42324,144752,150
32568,94560,100
42200,94576,110
42328,144608,150
32604,94432,100
25688,111208,110
32472,144744,150
32472,94704,100
42200,94704,110
42192,144632,150
32576,94568,100
42192,94568,110
42328,144632,150
32604,94584,100
42200,94568,110
42324,144744,150
32472,94568,100
42324,94460,110
42320,144632,150
32604,94464,100
42332,94576,110
42328,144736,150
32472,94568,100
42324,94592,110
42076,144752,150
32480,94712,100
42200,94584,110
42336,144608,150
32600,94564,100
42324,94440,110
42324,144640,150
32592,94584,100
42196,94568,110
42324,144640,150
32604,94600,100
42080,94576,110
42332,144640,150
32608,94592,100
42200,94584,110
42196,144744,150
32604,94596,100
42204,94584,110
42068,144872,150
32344,94692,100
42328,94568,110
42196,144744,150
32464,94576,100
42332,94592,110
42204,144640,150
32600,94588,100
42200,94688,110
42204,144624,150
32560,94568,100
42196,94712,110
42204,144640,150
32604,94584,100
42196,94576,110
42328,144632,150
32600,94440,100
42324,94576,110
42200,144736,150
32344,94824,100
42072,94720,110
42192,144760,150
32468,94688,100
42196,94576,110
42328,144608,150
32596,94584,100
41808,94968,110
42216,144768,150
32600,94464,100
42208,94584,110
42328,144640,150
32600,94328,100
42456,94584,110
42336,144616,150
32596,94576,100
42196,94568,110
42328,144760,150
32480,94568,100
42328,94568,110
42072,144864,150
32352,94712,100
42320,94584,110
42200,144624,150
32600,94568,100
42328,94568,110
42196,144752,150
32468,94584,100
42344,94456,110
42456,144496,150
32600,94600,100
42208,94560,110
42324,144624,150
32728,94440,100
42328,94452,110
42324,144752,150
32604,94328,100
42588,94328,110
42340,144640,150
32472,94576,100
42456,94336,110
42336,144640,150
32600,94456,100
42448,94464,110
42324,144640,150
32604,94560,100
42192,94568,110
42328,144616,150
32600,94568,100
42080,94716,110
42192,144752,150
